ID,Majority protein IDs,Gene_name_canonical,Nov27_clusters
80,L7RRS6;P04049;A0A0S2Z4L5;A0A0S2Z559;H7C155;B4E0X2,RAF1,14-3-3_scaffold
81,Q86X27,RALGPS2,14-3-3_scaffold
82,Q6P4F9;Q8IW42;Q59EM2,RASAL2,14-3-3_scaffold
83,Q9UJF2;H0Y638,RASAL2,14-3-3_scaffold
84,A0A0G2JLR5;A0A0G2JMW4;A0A024RCE4;Q02833;H0YEI0,RASSF7,14-3-3_scaffold
85,Q2KHR2;A0A669KBM4,RFX7,14-3-3_scaffold
86,Q6R327,RICTOR,14-3-3_scaffold
87,Q6P4R9,SASH1,14-3-3_scaffold
88,A0A024R0T2;Q7L8J4;Q96MW4;B4DSF1,SH3BP5L,14-3-3_scaffold
89,H0Y507;Q5TCZ1;B7Z9L8;B3KPL1;B7Z2H8;B7Z286;B7Z3B0;B7Z9C6;B7Z7H2,SH3PXD2A,14-3-3_scaffold
90,A0A024R6R1;A8K7Z9;Q8NEM2;B2RDX0,SHCBP1,14-3-3_scaffold
91,Q2M3G4;A6NN40,SHROOM1,14-3-3_scaffold
92,Q9Y2K2;M5FMX3;H0Y4E8;A1A5A9;H7C3X8;A0A024R3J3,SIK3,14-3-3_scaffold
93,O94964;F2FB34;B3KYA9;H0YDM2;X6R3R3,SOGA1,14-3-3_scaffold
94,Q08AE8,SPIRE1,14-3-3_scaffold
95,A0A024RAX4;F8VWW7;Q8NCJ5;Q8N2P1,SPRYD3,14-3-3_scaffold
96,O75044;Q5VZB5,SRGAP2,14-3-3_scaffold
97,Q9C0D5,TANC1,14-3-3_scaffold
98,Q9HCD6;J3KRP9,TANC2,14-3-3_scaffold
99,O60343;A0A024R637;A0A3B3IRT3,TBC1D4,14-3-3_scaffold
100,A0A024QZX0;Q9P0N9;A0A024R011;Q5SZL6;Q5SZL4;Q5SZL3;U3KPS8;Q5SZL5;B4DK47;Q5SZM1,TBC1D7,14-3-3_scaffold
101,A0A2R8Y5S3;A0A2R8YFV7;A0A2R8Y6S1,TSC1,14-3-3_scaffold
102,A0A2R8YDR3;A0A2R8Y7C8;X5D7Q2;X5D2U8;X5D9D6;A0A2R8Y5F1;A0A2R8YGU4,TSC2,14-3-3_scaffold
103,A8K8N5;A0A024R5S4;P40818,USP8,14-3-3_scaffold
104,A0A3B3IT47;Q9Y2I8;E7EQ49;A0A087WTQ2,WDR37,14-3-3_scaffold
105,A0A7P0TBE7;A0A7P0TAK3;A0A7P0T9D9;A0A7P0Z436,WDR62,14-3-3_scaffold
106,Q6AWC2,WWC2,14-3-3_scaffold
107,V9HWD6;P31946;B5BU24,YWHAB,14-3-3_scaffold
108,V9HW98;P62258,YWHAE,14-3-3_scaffold
109,P61981;B3KNB4;B4DE78;B4DHC4,YWHAG,14-3-3_scaffold
110,P27348;B4DMT8;Q53S41;B4DY04;E9PG15,YWHAQ,cytosol
111,D0PNI1;P63104;E7EX29;B0AZS6;E7ESK7,YWHAZ,14-3-3_scaffold
112,Q9ULJ3,ZBTB21,14-3-3_scaffold
113,P47974,ZFP36L2,14-3-3_scaffold
114,O75078,ADAM11,plasma_membrane
115,O94910,ADGRL1,plasma_membrane
116,Q96BJ3;B7ZW30;B7Z7D5,AIDA,plasma_membrane
117,Q5JTC6,AMER1,plasma_membrane
118,P05023,ATP1A1,plasma_membrane
119,A0A024R968,ATP2B4,plasma_membrane
120,B4E106,B4E106[p],plasma_membrane
121,B4E2V3,B4E2V3[p],plasma_membrane
122,A0A7P0TA85;Q54A51;P35613;B4DY23;B4DNE1;A0A7P0TB04;A0A087WUV8;I3L192,BSG,plasma_membrane
123,Q7KYR7,BTN2A1,plasma_membrane
124,A0A024R496;Q9Y376;Q7Z4X0;A0A087X0K1,CAB39,actin_cytoskeleton
125,C9JE82;C9JVC9;Q9NY47,CACNA2D2,plasma_membrane
126,A0A087X1W8;A0A0A0MTJ8;X5D8W0;X5DQS5;X5DQR8;X5DNF2;X5D7A8;Q9BY67;A0A087X0T8;A0A4Z1,CADM1,plasma_membrane
127,B4DPZ5;B4DNU9;Q6NZI2;B3KRY5,CAVIN1,actin_cytoskeleton
128,A0A142DDU4,CCDC8,plasma_membrane
129,A0A0A0MT72;Q9BSQ5;C9JUH3,CCM2,plasma_membrane
130,Q6YHK3,CD109,plasma_membrane
131,P14209;B2R932,CD99,plasma_membrane
132,A0A024R1J3;Q00587,CDC42EP1,plasma_membrane
133,Q9HD42;F8VVT7;A0A6Q8PG85;A0A6Q8PFX8;A0A6Q8PHU0,CHMP1A,cytosol
134,Q6FIC5;Q9Y696;B4DWC4;Q9NVF8;B3KTR3,CLIC4,plasma_membrane
135,P09543;A0A024R1T5;B4DI06,CNP,plasma_membrane
136,P35221;A0A384MDY0;B4E2G8;G3XAM7;B4DU00;B4DKT9;B3KSR8,CTNNA1,plasma_membrane
137,P26232,CTNNA2,plasma_membrane
138,A0A2R8YCH5;A0A024R2Q3;A0A2R8Y5A3;P35222;A0A2R8Y543;B4DL06;A0A2R8Y7Z0;A0A2R8Y804;A0A2R8Y750;A0A2R8Y6G0,CTNNB1,plasma_membrane
139,A0A669KB05;A0A024R4Z0;Q7KZJ3,CTNND1,plasma_membrane
140,A0A669KBH4;A0A669KB95,CUL7,plasma_membrane
141,Q8IWF6,DENND6A,actin_cytoskeleton
142,B4DEZ1;B3KXY5;B7Z6G5;B2RDH5;Q9NTA6,DKFZp761I2124,cytosol
143,Q14126,DSG2,plasma_membrane
144,Q15768,EFNB3,plasma_membrane
145,B2R5U3;Q9H4M9;A0A024R571;B4DTR4;B4DMV9;C9JC03,EHD1,plasma_membrane
146,Q6PCB8;D6RDX7;A0A024QYV2,EMB,plasma_membrane
147,Q4LE53;P29323;B4DSE0;B4DQP7,EPHB2,plasma_membrane
148,Q6NUR7;E7EQR4;P15311;V9HW42;B7Z5V2,EZR,plasma_membrane
149,L7RTG7;A0A384NQ31;Q8WU20,FRS2,plasma_membrane
150,A0A0S2Z5C9,FTSJ1,plasma_membrane
151,A0A024R3J8;Q9H0Q3,FXYD6,plasma_membrane
152,D3DRP5;Q9H4G4;B4DQC5,GLIPR2,plasma_membrane
153,P04899;B3KX51;B3KP24;Q93020,GNAI2,plasma_membrane
154,P08754,GNAI3,plasma_membrane
155,A0A0S2Z3S5;Q5FWY2;A0A590UJB0,GNAS,plasma_membrane
156,A0A0S2Z3H8;P63092;A0A590UJ58;A0A0A0MR13;Q14455;A0A590UJY2;O60726,GNAS,plasma_membrane
157,B2R6K4;A0A140VJJ8;P62873;A0A2L0WW42;Q71UM6,GNB1,plasma_membrane
158,Q6FHM2;P62879;E7EP32;C9JXA5,GNB2,plasma_membrane
159,Q9HAV0;A0A6Q8PFE0;A0A6Q8PFV8;A0A7I2S2S9;H7C5J5;A0A6Q8PFW8;A0A6Q8PG88,GNB4,plasma_membrane
160,Q9UBI6;Q53GD1,GNG12,plasma_membrane
161,P59768;G3V2C9,GNG2,plasma_membrane
162,B1APZ0;P50150,GNG4,plasma_membrane
163,P63218,GNG5,plasma_membrane
164,O60262;K7ESC6,GNG7,plasma_membrane
165,A0A024R210,IFITM1,plasma_membrane
166,H7C4K3;A0A7I2V2F9;E7EUI6;P05556;A0A7I2V348;C9JPK5;A0A7I2V5Z8;A0A7I2V5T3,ITGB1,plasma_membrane
167,A0A076NBC8;B4DG84;B4DI12,KIDINS220,plasma_membrane
168,A0A024RAV5;A0A3G1LBH1;Q14015;Q14014,KRAS,plasma_membrane
169,Q15334;A0A087WW77,LLGL1,plasma_membrane
170,P29966;Q6NVI1,MARCKS,plasma_membrane
171,P49006,MARCKSL1,plasma_membrane
172,P08581;A0A024R728;A0A024R759;B4DLF5;Q59EB3;E6Y365,MET,plasma_membrane
173,P26038;V9HWC0;Q6PJT4,MSN,plasma_membrane
174,A0A024R5N6;Q9UQ49;B4E0V4,NEU3,plasma_membrane
175,Q8N2Q7;J3KQ19;C9J4D3,NLGN1,plasma_membrane
176,A0A087WWT2;Q9NPD7,NRN1,plasma_membrane
177,X5D7M1;O60462;B7ZL68;Q7Z3T9;A8K4G9,NRP2,plasma_membrane
178,F8VQD4;Q8TAD7,OCC1,plasma_membrane
179,K7EKN5,PALM3,plasma_membrane
180,X5D999;Q14DV7;Q9P2E7;X5D2R8,PCDH10,plasma_membrane
181,Q5VT82;A7E2D9;B7ZM79;X5D7N0;Q9HC56,PCDH9,plasma_membrane
182,Q16513;B1AL79,PKN2,actin_cytoskeleton
183,Q01970,PLCB3,plasma_membrane
184,Q8N3E9;D3DX63,PLCD3,plasma_membrane
185,Q9UNN8;A0A0U1RQQ4,PROCR,plasma_membrane
186,Q4QQP8,PTGFRN,plasma_membrane
187,Q12974;E9PMY3;E9PML8;E9PJC0;E9PRR9,PTP4A2,plasma_membrane
188,P23470;B7Z3T1,PTPRG,plasma_membrane
189,Q9UEI6,Q9UEI6[p],plasma_membrane
190,P51153;Q504R6;D3DV69,RAB13,plasma_membrane
191,A0A024RD41;Q9ULC3,RAB23,plasma_membrane
192,Q15286;F5H157,RAB35,plasma_membrane
193,A4D2P0,RAC1,plasma_membrane
194,P11233;H7C3P7,RALA,plasma_membrane
195,A8KAH9;P62834;Q5U0C3;A0A075B6Q0,RAP1A,plasma_membrane
196,P61224;A0A024RB87;E7ESV4;F5GX62;A6NIZ1;Q9BXV4;B7ZB78;F5H004;F5H823;F5H6R7;B7ZAY2,RAP1B,plasma_membrane
197,B0YJ88;P35241;A0A2R8Y5S7;A0A2R8Y7M3;B7Z2S7;Q05CU6;Q6PKD3,RDX,plasma_membrane
198,Q8IUW5;D6RBN9,RELL1,plasma_membrane
199,Q6ICQ8;P84095,RHOG,plasma_membrane
200,A0A024R6U0;Q96DX4;B3KNH9,RSPRY1,plasma_membrane
201,B4DQ56;A0A024R9D1;P34741;E7ESK6;E9PBI9;B7Z5H2;B4DT61;E5RJB8;E5RHU3,SDC2,plasma_membrane
202,Q5TIH2;O95562,SFT2D2,plasma_membrane
203,Q53ZR1;P55011;B7ZM24;G3XAL9,SLC12A2,plasma_membrane
204,B4DKS0;A0A024R0H1;P53985;B2R6A5;Q5T8R5,SLC16A1,plasma_membrane
205,P36021,SLC16A2,plasma_membrane
206,Q71UA6;Q15758;M0QXM4,SLC1A5,plasma_membrane
207,F5GZS6;A0A7P0Z4A0;A0A7P0TAN7;J3KPF3;A0A7P0Z4P5;P08195,SLC3A2,plasma_membrane
208,Q59GF1;P04920;Q9UEY6;Q9UEY4;Q99654;Q8TAG3;Q6PJY3;A0A7I2V5T6,SLC4A2,plasma_membrane
209,P48066,SLC6A11,plasma_membrane
210,Q01650,SLC7A5,plasma_membrane
211,B4DW34;Q92485;F8VWW8;B4DE65;B4DEC6;Q5T0Y8,SMPDL3B,plasma_membrane
212,O94804,STK10,plasma_membrane
213,Q12846,STX4,plasma_membrane
214,O00186,STXBP3,plasma_membrane
215,A8K865;A4D0R1;Q16563,SYPL1,mixed
216,A0A024QZ70;Q7L7X3,TAOK1,plasma_membrane
217,A0A140VJW8;Q9P273,TENM3,plasma_membrane
218,Q96Q45;A0A087WWU1;F2Z329,TMEM237,plasma_membrane
219,Q9NV96;A0A669KBE6;B4DDK3;A0A669KBF5;B4DIF5,TMEM30A,plasma_membrane
220,D3DSR9;Q6FH58;B5BU36;O14763;B7Z588;B7Z3M7,TNFRSF10B,plasma_membrane
221,Q9UKE5,TNIK,plasma_membrane
222,Q9BZM5;B4DSS7;Q8IZX9;Q6H3X3;Q4V9S8;Q5VY80;J7HBC9;C9JAK3;J7HHH7,ULBP2,plasma_membrane
223,O75317,USP12,plasma_membrane
224,Q9NNW5;A0A087X295;E9PDU5;B4E256;Q8NDH0,WDR6,plasma_membrane
225,Q99758;H0Y3H2;Q4LE27;A7MBM9,ABCA3,lysosome
226,A0A024RD21;Q5T3U5,ABCC10,lysosome
227,A0A0S2Z5J4;O00203;Q3MNE1;A0A0S2Z4Z4,AP3B1,lysosome
228,A0A024QZR5;Q9Y2T2;Q8NDP0;B4DRN6,AP3M1,lysosome
229,Q92572;F5H459,AP3S1,early_endosome
230,A0A024R977;Q96BM9;B2R7U5,ARL8A,lysosome
231,Q9NVJ2;B4DQT8,ARL8B,lysosome
232,Q9NQ11;Q8N4D4;Q8NBS1,ATP13A2,lysosome
233,P78537;A0A087WSV2;F8W036;F8VP73;G8JLQ3,BLOC1S1,lysosome
234,F1T0F0;Q6QNY1;J3QRU7,BLOC1S2,lysosome
235,G3V1P3;Q969J3,BORCS5,lysosome
236,Q96GS4,BORCS6,lysosome
237,A0A0B4J1R7;Q96B45,BORCS7,lysosome
238,Q96FH0,BORCS8,lysosome
239,A0A0A6YYH1,C15orf38-AP3S2,early_endosome
240,Q13137;B4E1X7,CALCOCO2,lysosome
241,P86791;P86790;Q7L8P3;B4DJD2,CCZ1B,lysosome
242,P51798;B3KVJ8;Q96RY8;Q9BSM4;Q2VPA2;B3KUD9;B3KXZ3,CLCN7,lysosome
243,A0A1B0GV71;Q13286;A0A024QZB8;A0A1B0GWD3;A0A1B0GW34;A0A1B0GV41;Q5XFT9,CLN3,lysosome
244,B3KW79;A0A024RA40;Q9H3G5;O75225;H7C0X5,CPVL,lysosome
245,O75629;B3KQR3;A0A3B3IRL2,CREG1,lysosome
246,B4E324;X6R5C5;Q59EV6;X6R8A1;P10619,CTSA,lysosome
247,P07858;A0A7I2V668;E9PHZ5;A0A024R374;A8K2H4;A0A7P0NGZ6;B4DL49;A0A7I2V440;B3KUJ8;E9PSG5;A0A7I2V4Z9;A0A7I2YQK9;E9PQM1,CTSB,lysosome
248,A0A1B0GVD5;A0A1B0GWE8;V9HWI3;P07339;A0A1B0GW44;A0A1B0GV23;C9JH19;F8W787;A0A1B0GVP3,CTSD,lysosome
249,P07711;A0A024R276;B3KQK4;A0A7I2V5M3;A0A7I2YQA2;A5PLM9;Q5T8F0;A0A7I2YQB5;A0A7I2V2H7;A0A7I2V484,CTSL,lysosome
250,A0A7P0Z415;B2R717;A0A024R141;O60911;A0A7P0T8X8;A0A7P0T983,CTSV,lysosome
251,A0A7P0T989;Q9UBR2;A0A7P0T8I6;Q5U000;A0A7P0TB41;A0A7P0T9G9;A0A7P0T8X2;A0A7P0TBM7;A0A7P0T900;A0A7P0TA25;A0A7P0TBB5,CTSZ,lysosome
252,A4D1U4;C9J7X6,DENND11,lysosome
253,A0A024R0B7;Q6UX65,DRAM2,lysosome
254,Q9Y6X5,ENPP4,lysosome
255,O75955;Q5ST80;Q6IB58;Q53HQ0;A0A140T9R1;A2VCL5;A0A140T9W4,FLOT1,lysosome
256,A0A024QZ62;Q14254;Q6FG43;J3QLD9;E7EMK3;Q9BTI6;K7EKW9,FLOT2,lysosome
257,P04066,FUCA1,lysosome
258,Q9BTY2,FUCA2,lysosome
259,Q9BQS8,FYCO1,lysosome
260,P04062;A0A068F658;B7Z7G9;B7Z6S9;D3DV87;A0A223PQI4;A0A0G2JLB3;B7Z6E6;A0A0G2JNZ5;B7Z731;A0A0G2JNZ0;A0A068F579;A0A068F753;A0A068F4C8,GBA1,lysosome
261,Q9NXN4,GDAP2,lysosome
262,Q53Y83;P06280;A0A6Q8PFA9;A0A3B3IUC4;A0A6Q8PGG0;A0A6Q8PHD1;A0A6Q8PHM8,GLA,lysosome
263,Q53G40;B7Z6Q5;P16278;Q53H18,GLB1,lysosome
264,P17900,GM2A,lysosome
265,Q68CP4,HGSNAT,lysosome
266,A0A024R7M2;M0QY77;Q9BQD3;M0R228;M0QX74;M0QXP3;Q7Z4E2;M0R0B4;M0QXN9,KXD1,lysosome
267,B3KRY3;A0A024RDY3;P11279;Q59FZ0,LAMP1,lysosome
268,B4E2S7;H0YCG2;B7Z2R9;B4DF49,LAMP2,lysosome
269,Q6IAA8;B4DUK2,LAMTOR1,lysosome
270,Q9Y2Q5,LAMTOR2,early_endosome
271,Q9UHA4;Q53FH6,LAMTOR3,lysosome
272,Q0VGL1;A0A087WV46;C9JXA7;A0A087WT92,LAMTOR4,lysosome
273,A0A0C4DGV4;R4GMU8,LAMTOR5,lysosome
274,O43504,LAMTOR5,lysosome
275,Q6I9U9;Q53XC6;A8K669;Q99538;B7Z4S8;B7Z4A4,LGMN,lysosome
276,A0A0A0MT32;B3KU19;P38571;B3KRG8;Q6ZUY8;B4DE67;Q5T073;A8K2H6,LIPA,lysosome
277,Q53HA8;Q9GZU1;M0QXD0;B4DFZ1,MCOLN1,lysosome
278,A0A494C105;Q9H3U5;H7C593;B4DLK0;H7C5U3,MFSD1,lysosome
279,Q8NHS3;A0A286YEW8;A0A286YFE7;A0A286YFI8;A0A286YFF5;A0A286YFF1;A0A286YF73;A0A286YF51;A0A286YF00;A0A286YEV4;A0A286YFM2;A0A286YFH9;A0A286YFC6;A0A286YF45;B7Z2P8;E7ERQ4;A0A286YF72;A0A286YFI9;A0A286YFE6;A0A286YF82;A0A286YEW7;A0A286YFK4;A0A286YFH3,MFSD8,lysosome
280,Q9BVC4;A0A0A0MR05;H3BPT1;H3BN58;H3BSZ4;H3BR25,MLST8,lysosome
281,Q86VX9;A0A0A0MSQ9,MON1A,lysosome
282,Q7L1V2;B3KN76;E7EW32;Q6ZR87;B4DKA0,MON1B,lysosome
283,P42345;B4E2H2;B4DZD5,MTOR,lysosome
284,A8K1U0;A0A024R1V3;Q14596;A0A024R1Y3;B7Z5R6,NBR1,lysosome
285,Q5JQI0;A8K4K1;Q99519;A0A1U9X836;Q6IBT5;E9PIF4,NEU1,lysosome
286,Q53HV6;A0A024R6C0;P61916;J3KMY5;B2R4S5;G3V3E8;E7EMS2;B4DV10;G3V3D1;G3V2V8,NPC2,lysosome
287,B0YJ56;Q9BXW6;B7ZLX8;B3KU11,OSBPL1A,lysosome
288,Q86T03,PIP4P1,lysosome
289,Q8N4L2;E5RIY0,PIP4P2,lysosome
290,Q8NCC3;H3BMU8,PLA2G15,lysosome
291,Q8NHP8,PLBD2,lysosome
292,A0A024R0Q4;Q8IV08;B4DEL6,PLD3,lysosome
293,P50897;A0A2C9F2P4;A0A286YFF7;Q5T0S4;B4DWU3,PPT1,lysosome
294,A0A1U9X8D2;A0A024RCQ8;Q9UMR5;A0A0G2JH76;A0A140T8X7;A0A0G2JHB6,PPT2,lysosome
295,A0A024R5L0;P42785;E9PNF7;A0A7P0Z451;A0A7P0TB23,PRCP,lysosome
296,Q53FJ5;A0A024QZQ2;P07602;C9JIZ6;Q5BJH1,PSAP,lysosome
297,Q14964,RAB39A,lysosome
298,Q9NP90,RAB9B,lysosome
299,Q96DM3;K7ENL9;B7Z3Q1;B7Z201;A0A087WZD4;B7Z2Y1,RMC1,lysosome
300,D6RHI9;A6XND5;O00584;A0A087WZM2;H0YAE9,RNASET2,lysosome
301,O43567;C9IY58;C9JCY0;C9J7B4,RNF13,lysosome
302,I3L0L6;Q9H6Y7;Q9Y4L6,RNF167,lysosome
303,Q8N122;B7Z3S8,RPTOR,lysosome
304,Q7L523,RRAGA,lysosome
305,Q9HB90;D3DPT8;B4DQG4;B4DQ03,RRAGC,lysosome
306,A0A1W2PS43;A0A024RDG6;Q14108;A0A1W2PRS1;A0A1W2PPU6;A0A1W2PQR6;A0A1W2PQB7;A0A1W2PPX5;A0A1W2PRF6,SCARB2,lysosome
307,Q9HB40;B4DP22,SCPEP1,lysosome
308,Q8N697,SLC15A4,lysosome
309,Q6NT16;A0A3B3ISL3,SLC18B1,lysosome
310,Q8N357;B4DLH2;B4DS67,SLC35F6,lysosome
311,Q9NVC3;H3BPK8;B4DRU2;H3BP25;H3BMC5,SLC38A7,lysosome
312,A0A024QZR9;Q8NBW4;E7ESU6;D6R9Q7;D6R9X0;D6RDH2;D6RE72;D6RBB9,SLC38A9,lysosome
313,O95295,SNAPIN,lysosome
314,Q9Y5W9;J3QLV8;B4DKH7;J3QRB9;J3KTN6,SNX11,lysosome
315,H3BMF4,SPNS1,lysosome
316,Q9H2V7;A0A024QZ93,SPNS1,lysosome
317,J3QLM1,STARD3,lysosome
318,C9JKL2;A0A024RA89;O95772;C9JPX5,STARD3NL,lysosome
319,Q8N1F8,STK11IP,lysosome
320,B8ZZD4;Q86VP1,TAX1BP1,lysosome
321,Q9BSA9;F6UWG6,TMEM175,lysosome
322,Q7Z7N9,TMEM179B,lysosome
323,Q9NVA4,TMEM184C,lysosome
324,Q8IY95,TMEM192,lysosome
325,Q6FIE9;Q9H0E2;Q8N8J5;F2Z2Y8;Q59FB9;B3KR28;E7EN89,TOLLIP,lysosome
