ID,Majority protein IDs,Gene_name_canonical,Nov27_clusters
0,P30566;A0A7P0Z472;A0A7P0T9A7;A0A096LNY6;X5D8S6;A0A1B0GTJ7;A0A1B0GWJ0;Q71UA4;A0A0A6YY92;B4DP46;A0A7P0T8E4;A0A1B0GTG9;A0A096LNY5;A8K4X6;A0A1B0GWF8;X5DP48;X5D2Z4;B4DUM2;A0A096LP92,ADSL,cytosol
1,Q12802;A0A2X0SF55;H0YMW2;A0A087WTD7;A8MYJ1,AKAP13,14-3-3_scaffold
2,A4D1Z4,AP5Z1,14-3-3_scaffold
3,A0A024R178;P10398;Q96II5;A0A0S2Z3F2;B4DV85,ARAF,14-3-3_scaffold
4,A7KAX9;A0A2X0SFD0,ARHGAP32,14-3-3_scaffold
5,D3DVA5;V9GYM8;A0A5F9ZI21;Q92974,ARHGEF2,14-3-3_scaffold
6,A0A024R562;Q92934;B4DZQ9,BAD,14-3-3_scaffold
7,P15056;A0A2U3TZI2,BRAF,cytosol
8,Q08AD1;B3KTI4,CAMSAP2,14-3-3_scaffold
9,Q9P1Y5,CAMSAP3,14-3-3_scaffold
10,Q3V6T2;D6W5D1;A0A2U3TZV9;A0A2R8YG73;A0A2R8Y4X4;A0A2R8Y4W8;A0A2R8Y885;A0A2R8YCU9;A0A2R8YGU1;A0A2R8YDS8,CCDC88A,ER
11,P30305;B3KS38;G8JLH2;B4DRC3;B4DIG0;B4DQZ3;Q6MZW8;E1YMX4,CDC25B,14-3-3_scaffold
12,A0A024R8R6;Q86X02,CDR2L,14-3-3_scaffold
13,Q9HC77;A8K8P1;F6VUX8;Q2KHM5,CENPJ,14-3-3_scaffold
14,Q8N8E3;F5GYE8;A2RRR7;B4DR29;B3KUW3;J3QQV3,CEP112,14-3-3_scaffold
15,B2RTS4,CEP170,14-3-3_scaffold
16,E7EWM2;Q96L14,CEP170,14-3-3_scaffold
17,J3KQR7;Q9Y4F5,CEP170B,14-3-3_scaffold
18,O43822;D3DSL5;Q59F82,CFAP410,14-3-3_scaffold
19,Q7Z460,CLASP1,14-3-3_scaffold
20,E3W994;O75122;J3KR49;A0A0U1RQI6;B4DM73;Q96F87,CLASP2,14-3-3_scaffold
21,E7ERI8;E7EW49,CLASP2,14-3-3_scaffold
22,Q8IUI8;B4DJU5,CRLF3,14-3-3_scaffold
23,Q6UUV9;M0QX46;M0QXN6,CRTC1,14-3-3_scaffold
24,Q53ET0;Q5T4K5,CRTC2,14-3-3_scaffold
25,Q6UUV7;Q8TEF4,CRTC3,14-3-3_scaffold
26,B2RBP7;Q9H4E7;B3KSI1,DEF6,14-3-3_scaffold
27,A0AVK6,E2F8,14-3-3_scaffold
28,B7WPE2;Q32P44;B4DL97;H0Y3M3;G3V195;G3V1D0,EML3,14-3-3_scaffold
29,A0A024R3V2;Q9UQ84,EXO1,14-3-3_scaffold
30,Q9C073;D6RFX7,FAM117A,14-3-3_scaffold
31,A0A2X0SFT1;O94988,FAM13A,14-3-3_scaffold
32,P0C2W1,FBXO45,14-3-3_scaffold
33,P85037;B4DY33;B3KV39,FOXK1,14-3-3_scaffold
34,Q12778,FOXO1,14-3-3_scaffold
35,O43524,FOXO3,14-3-3_scaffold
36,O94915;F2Z2S2;A0A6E1XQM6,FRYL,14-3-3_scaffold
37,O15063,GARRE1,14-3-3_scaffold
38,Q96D09;B3KW05,GPRASP2,14-3-3_scaffold
39,P56524;A0A7I2SVS4;Q53SM2;B7Z8G5;B7Z8I2;B7Z8L3,HDAC4,14-3-3_scaffold
40,J3KPH8;Q8WUI4,HDAC7,14-3-3_scaffold
41,J3KPF0;F8VWT9;Q9Y4D8,HECTD4,14-3-3_scaffold
42,Q9NSC5;M0R2U7,HOMER3,14-3-3_scaffold
43,Q9Y4H2;Q96RG4;Q96RG5,IRS2,14-3-3_scaffold
44,Q9NQT8;D3DSU3,KIF13B,14-3-3_scaffold
45,A0A3B3IT28;A0A3B3IUA1;Q12756;A0A3B3ITW6;A0A3B3ITF7;A0A3B3ITE5;A0A3B3IU40;A0A3F2YNW9;A0A3B3ITK3,KIF1A,14-3-3_scaffold
46,Q4R9M9;O60333;Q4R9M7;A0A087WWA3,KIF1Bbeta,14-3-3_scaffold
47,A0A7I2V5Y5;Q02241;H7BYN4;A0A2U3TZL8,KIF23,14-3-3_scaffold
48,A0A6Q8PGJ3;Q12840;B2RCP3;B0I1S7;A0A6Q8PEZ8;J3KNA1;B7Z2M7,KIF5A,14-3-3_scaffold
49,V9HW29;P33176;D3DRX6,KIF5B,cytosol
50,C1PHA2;M1VKJ2;M1VRN1;A8K048;M1VPF9;M1V490;M1V481;M1VKI9;M1VE89;M1VRN0;M1VPF7,KIF5B-ALK,14-3-3_scaffold
51,O60282;A0A7I2V492;A0A7I2V3N5;A0A7I2V4K6;A0A7I2V581;A1L179;A0A0G2JMZ6;A0A7I2V3V4;Q57Z91,KIF5C,14-3-3_scaffold
52,E7EVH7;B4DS14;G3V2E7;Q7RTQ1;Q07866,KLC1,14-3-3_scaffold
53,Q9H0B6;A8MZ87,KLC2,14-3-3_scaffold
54,A0A024R0V3;Q6P597;K7EL76;K7ENJ3,KLC3,14-3-3_scaffold
55,A0A024RCZ8;Q9NSK0,KLC4,14-3-3_scaffold
56,Q7RTQ0;Q7RTP8;Q7RTQ9;Q7RTQ7;Q7RTQ8;Q7RTQ2;G3V3H3;G3V5R9,KNS2,14-3-3_scaffold
57,A0A2R8Y5H9;Q8IVT5;A0A0A0MQW1;A8MY87,KSR1,14-3-3_scaffold
58,A0A024RAH0;Q9Y2U5,MAP3K2,14-3-3_scaffold
59,Q99683;Q59GL6;B4DF67,MAP3K5,14-3-3_scaffold
60,Q9BPZ7;A0A024R863;B1AMA5;B7Z5E5,MAPKAP1,14-3-3_scaffold
61,Q7KZI7,MARK2,14-3-3_scaffold
62,Q6P0Q8;A0A669KBJ4,MAST2,14-3-3_scaffold
63,A0A499FJI4;O75592,MYCBP2,14-3-3_scaffold
64,A8K6D4;A8K6R3;A0A024R058;O95544,NADK,14-3-3_scaffold
65,Q8NEY1;A0A0A0MRJ3,NAV1,14-3-3_scaffold
66,Q96PY6,NEK1,14-3-3_scaffold
67,P21359,NF1,14-3-3_scaffold
68,Q9UNW9;A0A6Q8PFC2,NOVA2,14-3-3_scaffold
69,F8VW41;Q86VP3,PACS2,14-3-3_scaffold
70,O60825;B0FLL2;Q68DE0,PFKFB2,14-3-3_scaffold
71,Q9UBF8;A0A0B4J1S8,PI4KB,14-3-3_scaffold
72,A0A2U3TZV8;Q4KWH8,PLCH1,14-3-3_scaffold
73,A0A024R6X4;Q58EX7;B4E3H4,PLEKHG4,14-3-3_scaffold
74,G4WMG7;A0A0K0L4Y0;Q96AD5;A0A0U1WL47;A0A0K0L4Y8;L7NSP5;A0A1W6R6W1,PNPLA2,14-3-3_scaffold
75,Q86X09;O95685,PPP1R3D,14-3-3_scaffold
76,Q86YD1;M0QY25;M0QYQ4;M0QYH7,PTOV1,14-3-3_scaffold
77,B7Z9V1;B7Z948;P26045;B7Z3H5;B7Z3R0;Q68E08;B7Z3V3;B7ZA03,PTPN3,14-3-3_scaffold
78,Q5IBP5,Q5IBP5[p],14-3-3_scaffold
79,Q9H0H5;A0A2X0U4T9;A0A024R136;B2RE34,RACGAP1,14-3-3_scaffold
