,Majority protein IDs,Gene_name_canonical,cluster_annotation,Graph-based_localization_annotation,consensus_graph_annnotation
240,A0A024R1U0;P46060;B4E0U0,RANGAP1,ER,ER,ER
241,A0A158RUX1;A0A024R1U1;Q9P2W1;K7ERB6;A0A024R1W9;K7EQS1,PSMC3IP,nucleus,nucleus,nucleus
242,A0A024R1U2;Q7RTV0,PHF5A,nucleus,nucleus,nucleus
243,A0A024R1U4;P51148;K7ERI8,RAB5C,early_endosome,early_endosome,early_endosome
244,Q92871;A0A024R1U5,PMM1,cytosol,cytosol,cytosol
245,E4W6B6;A0A024R1V4;P61353;B2R4D8;K7ELC7,RPL27,translation,translation,translation
246,A0A024R1V6;P35227;J3KT13,PCGF2,nucleus,nucleus,nucleus
247,A0A024R1W3;Q96AY3;B4DJJ5;Q658U4;Q8NAG5;Q6ZME7;H0Y827,FKBP10,ER,ER,ER
248,A0A024R1W6;Q8N138;J3KTF9;J3QRM9,ORMDL3,unclassified,nucleus,nucleus
249,A0A024R1X0;O15234;B4DKR6;J3KSY7,CASC3,stress_granule,stress_granule,stress_granule
250,A0A024R1X3;Q9BRG1;K7EKV4,VPS25,unclassified,cytosol,cytosol
251,Q9Y2R0;A0A024R1X4;K7EPV0,COA3,mitochondrion,mitochondrion,mitochondrion
252,Q53F78;A0A024R1X5;Q14457;B4DS82;E7EV84;W0FFG4;B4DQ36,BECN1,early_endosome,early_endosome,early_endosome
253,A0A0S2Z487;A0A024R1X8;P14923,JUP,plasma_membrane,plasma_membrane,plasma_membrane
254,B2RCL4;A0A024R1Y6;O75781,PALM,plasma_membrane,plasma_membrane,plasma_membrane
255,A0A024R1Y7;Q8N2G8;B3KVB0;K7ESN3,GHDC,ER,ER,ER
256,A0A024R1Z1;P49427,CDC34,cytosol,cytosol,cytosol
257,A0A024R1Z4;Q9NYR9;K7ERG2,NKIRAS2,recycling_endosome,recycling_endosome,recycling_endosome
258,A0A024R1Z6;Q99536;B3KUF8,VAT1,early_endosome,early_endosome,early_endosome
259,A0A024R201;Q9Y6E3;B4DJ66,PSMD13,proteasome,proteasome,proteasome
260,A0A024R206;Q9BV68;K7EIY6;A8K0Q1;U3KQF4;O60372;Q9NPN4,RNF126,early_endosome,early_endosome,early_endosome
261,A0A024R210,IFITM1,plasma_membrane,plasma_membrane,plasma_membrane
262,A0A024R216;Q9Y3E1,HDGFL3,nucleus,nucleus,nucleus
263,O76080;A0A024R219;Q5QPB1,ZFAND5,proteasome,proteasome,proteasome
264,A0A024R222;B4DHQ3;Q9Y617;A0A024R280,PSAT1,cytosol,cytosol,cytosol
265,A0A024R224;Q9H0C5;Q3ZTS5,BTBD1,unclassified,unclassified,unclassified
266,A0A024R228;P61978,HNRNPK,nucleus,nucleus,nucleus
267,A0A024R229;Q9UHN6,CEMIP2,recycling_endosome,recycling_endosome,recycling_endosome
268,A0A024R233;A0A024R225;B7Z2R3,TJP2,plasma_membrane,plasma_membrane,plasma_membrane
269,A0A024R240;P50148;G9FP35,GNAQ,plasma_membrane,plasma_membrane,plasma_membrane
270,A0A024R273;A8K4G2;A0A024R244;P43405;B3KQJ1,SYK,cytosol,cytosol,cytosol
271,A0A024R250;Q76FK4;F5H101;Q6AI50;F8WE42;B4DM91,NOL8,nucleolus,nucleolus,nucleolus
272,A0A024R258;Q59FJ2,UBQLN1,cytosol,cytosol,cytosol
273,A0A024R259;O43310,CTIF,cytosol,cytosol,cytosol
274,A0A087WXM6;J3QQT2;J3KRX5;A0A024R261;A0A0A6YYL6;P18621;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8,RPL17,translation,translation,translation
275,K7EIU8;A0A024R274;Q13485;Q9BYG6;A0A0S2Z4B2;K7ES96,SMAD4,nucleus,nucleus,nucleus
276,Q969G6;A0A024R275,RFK,mitochondrion,cytosol,cytosol
277,P07711;A0A024R276;B3KQK4;A0A7I2V5M3;A0A7I2YQA2;A5PLM9;Q5T8F0;A0A7I2YQB5;A0A7I2V2H7;A0A7I2V484,CTSL,lysosome,lysosome,lysosome
278,A0A024R277;O15269;Q6NUL7,SPTLC1,ER,ER,ER
279,K7ERC8;A0A024R292;Q06136;K7EQS7,KDSR,ER,ER,ER
280,A0A024R294;Q96BD8,SKA1,unclassified,unclassified,unclassified
281,Q9Y657;A0A024R297,SPIN1,nucleus,nucleus,nucleus
282,A0A024R2A7;P49257;Q53FS4;B2R774,LMAN1,ERGIC,ERGIC,ERGIC
283,A0A024R2A8;Q96JG8,MAGED4; MAGED4B,cytosol,cytosol,cytosol
284,O95427;K7ELE1;A0A1W2PS19;A0A024R2C3;B2RCI8;A0A1W2PNH8;A0A1W2PNR0;A0A1W2PQZ1;A0A1W2PNW5;A0A1W2PPB6;A0A1W2PQA9;K7EPJ2;A0A1W2PPR7;A0A1W2PQP4;K7EMD7;A0A1W2PRH3;A0A1W2PQR8;A0A1W2PR74;A0A1W2PNQ8;K7EL34,PIGN,ERGIC,ER,ER
285,A0A024R2C5;O75351;A8K5D8;A8K4G7,VPS4B,unclassified,cytosol,cytosol
286,A0A024R2D3;Q9BV44;H7C3J3,THUMPD3,unclassified,unclassified,unclassified
287,O95352;B3KQM6;A0A024R2E9;B2RB57;B4DQK1,ATG7,cytosol,cytosol,cytosol
288,A0A0S2Z4K1;A0A024R2F2;P40337;J9Z661,VHL,cytosol,cytosol,cytosol
289,A0A024R2F3;Q93075;H7C1W4,TATDN2,nucleus,nucleus,nucleus
290,A0A024R2F8;A0A024R2I5;Q8N4Q1,CHCHD4,mitochondrion,mitochondrion,mitochondrion
291,Q9BTV4;A0A024R2F9,TMEM43,ER,ER,ER
292,A0A024R2G1;Q96HD1;A0A669KAV0,CRELD1,ER,ER,ER
293,Q8NCE0;A0A7P0T914;A0A024R2G3;A8K568;B7Z355;C9J7Z4;A0A7P0TBE6;A0A7P0T8F8;A0A7P0Z492;A0A7P0Z4J6;H7C2Z3;A0A7P0T841;A0A7P0TA86;A0A7P0T9Y6;A0A7P0T923;H7C301;A0A7P0T8Z6;A0A7P0T8S9;A0A7P0T8I7;A0A7P0T8W9;A0A7P0T8K4,TSEN2,cytosol,cytosol,cytosol
294,D3YTB1;A0A024R2G7;F8W727;P62910,RPL32,translation,translation,translation
295,A0A024R2G9;Q96HP4;C9JLB7;B4DQJ7;U3KQU8,OXNAD1,mitochondrion,mitochondrion,mitochondrion
296,A0A024R2H1;Q01826,SATB1,unclassified,nucleus,nucleus
297,A0A024R2H7;Q96Q11,TRNT1,mitochondrion,mitochondrion,mitochondrion
298,A0A024R2I7;Q53H10,RAD18,nucleus,nucleus,nucleus
299,A0A024R2I9;O15084;B4DIW9,ANKRD28,unclassified,cytosol,cytosol
300,A0A024R2J9;B9A6K1;A0A024R2H0;Q92609,TBC1D5,early_endosome,trans-Golgi,trans-Golgi
301,A0A024R2K1;P20339;A0A0A1HAN9,RAB5A,early_endosome,early_endosome,early_endosome
302,H7C061;A0A024R2K3;P51965;C9J2P0;B7Z306;A0A087X283,UBE2E1,cytosol,cytosol,cytosol
303,A0A024R2K4;Q9Y608;C9JSU1,LRRFIP2,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
304,A0A024R2L1;Q8TAF3,WDR48,plasma_membrane,plasma_membrane,plasma_membrane
305,C9J9K3;A0A024R2L6;A0A0C4DG17;P08865;A0A024R7P5,RPSA,translation,translation,translation
306,A0A024R2M6;P09110;B4DEN6;Q8NCW8;C9JDE9;H7C131;H0Y4D4;A0A140VJX0,ACAA1,peroxisome,peroxisome,peroxisome
307,A0A024R2P4;Q8NAT1,POMGNT2,ER,ER,ER
308,A0A2R8YCH5;A0A024R2Q3;A0A2R8Y5A3;P35222;A0A2R8Y543;B4DL06;A0A2R8Y7Z0;A0A2R8Y804;A0A2R8Y750;A0A2R8Y6G0,CTNNB1,plasma_membrane,plasma_membrane,plasma_membrane
309,A0A024R2Q4;P61313;A0A2R8YEM3;E7EQV9;E7ENU7;B4DLP4;E7EX53;A0A2R8Y738,RPL15,translation,translation,translation
310,A0A024R2Q8;Q9UHA2,SS18L2,unclassified,nucleus,nucleus
311,A0A024R2S0;Q9NW15,ANO10,ER,ER,ER
312,B2RDZ9;A0A024R2T3;Q15024;B4DIU0,EXOSC7,nucleus,nucleus,nucleus
