,Majority protein IDs,Gene_name_canonical,cluster_annotation,Graph-based_localization_annotation,consensus_graph_annnotation
117,A0A024R046;O00479,HMGN4,unclassified,nucleus,nucleus
118,P43003;A0A7P0TAG7;A0A024R050;Q8N169;A0A087X0U3;A0A087WT87;B4DF14;B4DHC6,SLC1A3,plasma_membrane,plasma_membrane,plasma_membrane
119,Q8N995;A0A024R059;Q01581,HMGCS1,cytosol,cytosol,cytosol
120,A0A024R061;P51809;B2R6P4;B4DIH9;A0A024R074;B4DE96,VAMP7,early_endosome,early_endosome,early_endosome
121,A0A024R069;A0A0A0MTL5;Q13309;B4DHK6;D6R9R7;A0A7I2V5B8;A0A7I2YQC7;A0A7P0S4R7;D6RF40,SKP2,unclassified,cytosol,cytosol
122,A0A024R071;O75694;B4DLT2;E9PF10,NUP155,ER,ER,ER
123,B1AMF0;A0A024R075;Q8N2K1;D6RB84,UBE2J2,ER,ER,ER
124,A0A5F9UP49;A0A024R084;Q9BRK5;A0A5F9UJX7;A0A024R0A9;H0Y3T6;G3V1E2,SDF4,Golgi,Golgi,Golgi
125,A0A024R087;P52739;B3KQ42;D6R9I2,ZNF131,nucleus,nucleus,nucleus
126,A0A024R099;A8K0M8;Q6PGN9;Q5T2Z1;Q5T2Z0,PSRC1,unclassified,unclassified,unclassified
127,A0A024R0A8;O43865;Q2NKW8,AHCYL1,unclassified,cytosol,cytosol
128,H7C2E6;H7C361;A0A024R0B3;Q6NZ36;H7C3A6,FAAP20,unclassified,unclassified,unclassified
129,A0A024R0B7;Q6UX65,DRAM2,lysosome,lysosome,lysosome
130,Q2TB59;A0A024R0C3;Q13423;A0A590UK15;A0A590UJM2;A0A590UK29,NNT,mitochondrion,mitochondrion,mitochondrion
131,Q5JR08;A0A024R0C8;P08134;E9PQH6;Q5JR07;Q5JR05,RHOC,cytosol,cytosol,cytosol
132,A0A024R0E2;O75534,CSDE1,stress_granule,stress_granule,stress_granule
133,A0A024R0E3;Q8TAA9,VANGL1,plasma_membrane,plasma_membrane,plasma_membrane
