"","log H/L MAP1_03K","log H/L MAP1_06K","log H/L MAP1_12K","log H/L MAP1_24K","log H/L MAP1_80K","log H/L MAP2_03K","log H/L MAP2_06K","log H/L MAP2_12K","log H/L MAP2_24K","log H/L MAP2_80K","log H/L MAP3_03K","log H/L MAP3_06K","log H/L MAP3_12K","log H/L MAP3_24K","log H/L MAP3_80K","log H/L MAP4_03K","log H/L MAP4_06K","log H/L MAP4_12K","log H/L MAP4_24K","log H/L MAP4_80K","log H/L MAP5_03K","log H/L MAP5_06K","log H/L MAP5_12K","log H/L MAP5_24K","log H/L MAP5_80K","log H/L MAP6_03K","log H/L MAP6_06K","log H/L MAP6_12K","log H/L MAP6_24K","log H/L MAP6_80K"
"Q9NRG9",0.0886843715333915,-0.624777027802995,-0.268955820073374,0.532865503106325,1.59411854324266,0.191815289706898,-0.547826313466732,-0.346206207030732,0.528971317498367,1.50523038996349,0.290188457337521,-0.485761571251543,-0.502443836079953,0.493339908813507,1.6641187073388,0.137372363693398,-0.602306544763309,-0.539540499517049,0.419323145283251,1.5514421891271,-0.137965260044767,-0.787044749046526,-0.405317696844933,0.663025756497975,1.42320164970806,0.149909667534924,-0.700403651215905,-0.330193119826162,0.791105570412529,1.49139136003484
"Q86V21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24028168872766,-0.972732689347142,-0.597867244089773,-1.28841699252604,-0.980739322408622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q2M2I8",-0.297253814475739,0.151079473028812,-0.17778380811571,-0.497954604455276,-0.899372138927611,-0.2172559636048,0.269751322048375,0.0321008431670241,-0.562346121653808,-0.567232964887775,-0.306948007438546,0.294664856091242,-0.048770312511482,-0.362621605127705,-0.471868807750227,-0.290832903086162,0.0861043712432908,-0.022903287503046,-0.346426300605838,-0.698810393140237,-0.464106302479096,0.134615244425109,-0.387430464517457,-0.643653325048191,-0.837712609457054,-0.110900321625922,0.1947174628936,-0.292704927762272,-0.541870016988988,-0.685477478208385
"Q13685",-0.834004475583615,-0.367824864602515,-0.882916736535749,-1.08687506277291,-0.409776457724508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.804904422822782,-0.732044787708729,-1.49423099331257,-0.70460610025895,-0.938486448650358,NA,NA,NA,NA,NA
"P49588",-0.963559966883671,-0.924289396080733,-1.44937509864226,-1.51799848411725,-0.766111939825723,-0.987445628377409,-0.892499592800111,-1.43873741440967,-1.44579428076837,-0.810308254228663,-0.986616353582056,-0.816570654556042,-1.35232630065121,-1.39589071117171,-0.722681723503608,-1.30918065984007,-0.70016923817763,-1.17218097538268,-1.30389932454859,-0.890893564535748,-1.13980790442051,-1.00569544587184,-1.63334486764121,-1.38127269659998,-0.970271500092807,-0.737566842368653,-0.871231498622984,-1.62883148450157,-1.37052680321305,-1.08027092864423
"Q5JTZ9",-1.18576952733203,-0.697850601828457,3.65477921695952,0.372394965238024,4.78925975143968,-1.1686415738965,-0.491733628093265,3.78471335743699,2.45859198815186,4.62398388298598,-1.16935524941978,-0.48774276789723,3.55814515898958,3.73660487531425,4.84959901115145,-1.35416924696974,-0.663602343786461,3.38777609825344,4.98011672288322,4.60335929188297,-1.30939517635131,-0.833875891991797,3.46584389795881,0.105409894040082,-0.606386108386039,-0.896817958126756,-0.687729821180794,3.43962313755712,8.05028401430171,7.75888943272096
"Q9BTE6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0295438776292314,0.843823089126896,-0.893062125339544,-1.11356691178894,-1.09643720887026,NA,NA,NA,NA,NA
"Q9NRN7",NA,NA,NA,NA,NA,-1.33879767023729,-0.845183510816921,-0.969621541981027,-0.415114445066264,-0.49956503973028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5472148188371,-0.919970028473589,-0.892713865047778,-0.755015547030423,-0.351755464991475,-1.08831608695889,-0.78868870420885,-0.787592525983478,-0.54491875756186,0.0585243118408003
"Q9BZC7",0.703277923981373,-0.773220219702109,-0.922210111356332,0.101784524166932,0.84358192315399,1.45206823022381,-0.588226681428681,-1.12330822166815,0.0753272507070651,0.905658970272048,1.05255500943411,-0.443261600088335,-1.1131299395522,-0.304309006516668,1.269511969905,1.21605125763313,-0.45150418902917,-1.12607658631172,-0.0486061689528187,0.985937544394243,0.0247451901971378,-0.927523709486737,-0.94308358041786,0.113700499164728,0.822199872819968,1.41234797436691,-0.802109452892765,-1.02362169908088,0.370833848176403,0.87200131148318
"P08183",-0.445597789880898,-0.202505512239478,0.190930859562615,0.907813625096747,2.66361787431498,-0.340130228525515,-0.0993862593019267,0.106750315060868,0.911806609449312,2.87308477825788,-0.380258341230825,-0.232260464454422,-0.0680295670471767,0.750263475638021,2.62454545233607,-0.57839158459047,-0.441027111914604,-0.231413364999112,0.568032104771279,2.37200484431215,-0.836604321043418,-0.698927484555913,-0.231718263507203,0.884793262543527,2.50197408519129,-0.300697129446816,-0.477883972361242,-0.166988500841638,1.11243325117974,2.35428288646776
"Q9NRK6",-1.23725149519059,-0.608144313516072,3.45101324294397,3.86700685721115,3.79545527204412,-1.11951037331218,-0.416769772900081,1.37712374912949,2.61133765478763,2.13707720996112,-1.16740969256525,-0.441458059519974,-0.405604326897907,1.04942166633415,2.25423120737522,-1.29764388060772,-0.681376573349953,1.55070369624789,2.02538322147792,3.20132019771785,-1.39460048983814,-0.854100859548603,3.16104922490056,1.47902355998051,3.35148699233648,-1.00418989390542,-0.663396683562812,3.4154882710497,3.48877205929985,3.92343445781053
"Q9NP58",1.36915934606453,-0.97644655701321,-0.744583867156453,0.546956178141411,2.37261784412629,1.40675433692871,-0.83115261321444,-0.897865969471462,0.420401553945282,2.46296844032096,1.40163046658474,-0.733315388373576,-1.02177507731542,0.440845918237266,2.35915567137507,1.32342771806093,-0.734347075943144,-0.974064046230225,0.484911486910828,2.30000654660916,1.09295160099135,-1.02476603152024,-0.922046084860688,0.589379995477964,2.33138993283634,1.62798030306595,-0.875671864997798,-0.963194268282078,0.628913542661786,2.29944982129122
"O75027",-1.17302652049194,-0.572393827218101,3.42505641110459,4.56040926636212,4.35720008486005,-1.08402790933152,-0.417501802285855,3.38529297364579,4.80792158380811,4.5457213111304,-1.15868700972382,-0.382720326865096,3.16591193893569,3.45811948117451,3.32725621558264,-1.32474409671207,-0.568665875619506,2.92711897098895,2.0950129563223,4.85832918983977,-1.29180393343223,-0.831306623894159,2.89931099765891,4.3421991478711,5.14783580703476,-0.899829680243023,-0.66703433741404,2.83408417254509,4.70895970441307,5.20668229123609
"Q9NUT2",-1.36097163471368,-0.702186436118187,-0.522592069729752,3.1362242042724,1.2096405139276,-1.04909865566605,-0.286005120842784,1.24439999124555,3.269511969905,1.64029700247226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
