"","log H/L MAP1_03K","log H/L MAP1_06K","log H/L MAP1_12K","log H/L MAP1_24K","log H/L MAP1_80K","log H/L MAP2_03K","log H/L MAP2_06K","log H/L MAP2_12K","log H/L MAP2_24K","log H/L MAP2_80K","log H/L MAP3_03K","log H/L MAP3_06K","log H/L MAP3_12K","log H/L MAP3_24K","log H/L MAP3_80K","log H/L MAP4_03K","log H/L MAP4_06K","log H/L MAP4_12K","log H/L MAP4_24K","log H/L MAP4_80K","log H/L MAP5_03K","log H/L MAP5_06K","log H/L MAP5_12K","log H/L MAP5_24K","log H/L MAP5_80K","log H/L MAP6_03K","log H/L MAP6_06K","log H/L MAP6_12K","log H/L MAP6_24K","log H/L MAP6_80K"
"P33527",-0.567959935756971,-0.267826332001207,0.533961965345151,1.45748923104651,3.36261015369037,-0.515686538500438,-0.0778935124936689,0.492314684892527,1.46858331700683,3.61894338330183,-0.544666203322777,-0.160653083495121,0.191815289706898,1.33342373372519,3.56778879672772,-0.843008046658705,-0.520645252313158,0.0130691500195213,1.05713830439354,3.08912522563641,-0.943555198980332,-0.601649629654035,0.162467867615304,1.35377494493222,3.22305178836844,-0.690544382917496,-0.42942049226662,0.149519521490029,1.43765387834619,3.55839009872547
"Q92887",0.0457225357346006,-0.319369581199535,-0.271426397440635,0.218967110048957,1.48604499259035,0.140778655782796,-0.234804751236163,-0.375421796198341,0.15419432499279,1.65159134479765,0.0710761620109589,-0.23073604337123,-0.482028956780476,0.0943712105925172,1.3743439890385,0.00776959414591767,-0.280141925976638,-0.622954011312863,-0.0200624709507371,1.23044897620751,-0.149984732910745,-0.570721485144509,-0.679573088706008,0.332278283056929,1.44424299422248,0.234133395612482,-0.400168069989219,-0.63661582914753,0.443500567057692,1.54552363428414
"O15438",-0.423468187710989,-0.33677380718681,0.242450073677701,1.16414264884831,1.81737767149656,-0.299897689997728,-0.243386571232505,0.0384361816561079,1.00173019613888,2.83572200197435,-0.378250519080544,-0.331862716899953,-0.00940812741241684,1.22002033044637,2.5341861390901,-0.538597171063687,-0.500075045830405,-0.0644195611874445,0.823015599993622,2.38487870371017,-0.791582627341841,-0.556563087337557,-0.0664273617389761,1.54507876232379,2.45064381506032,-0.465280965402883,-0.444910282444953,0.108624814681649,1.41997028720838,2.23584957650756
"O15439",-0.55817660287066,-0.255184456931185,0.467592508712949,1.40299497537925,2.99588244883201,-0.535206286707977,-0.0956199533060884,0.431783398803876,1.45259543470287,3.17881023348325,-0.56571605882364,-0.165240250275206,0.214995134614923,1.37005265571591,3.2644313401238,-0.798842934231788,-0.44445867016843,-0.0491135821305975,1.01756564301437,2.69861855388268,-1.03247721925943,-0.624621314481904,0.0889556823082184,1.30404369647354,2.51174632961087,-0.618340080621961,-0.506496122947997,0.0363274918177651,1.44169593743457,2.41689377442312
"O15440",-0.333606967630984,-0.368029661968306,0.178236584604805,0.793105148058878,2.11869195279181,-0.322739839172352,-0.0048121912388182,0.0453031679565721,0.516922851278287,1.83983868619129,-0.397752179890808,-0.217172107925106,-0.187723586826692,1.00173019613888,1.69055118953664,-0.704676636771202,-0.295641478507455,-0.282772150052601,0.430392333572308,1.00532812069528,-0.719352444070664,-0.461422106933328,-0.189696750777654,0.90257529903094,1.27560307933685,-0.351571372626881,-0.388638736080249,-0.17436088779273,0.745022149037265,1.56623065282154
"P33897",0.728921827287314,-0.933628327364409,-0.352418392075346,1.22212446737522,4.10148199838225,0.747602230274943,-0.81395590314812,-0.535791796067024,1.29719141656586,3.98258294692259,0.723602245747617,-0.684086034563258,-0.673922915076869,1.23695175858808,3.87676249078156,0.685805625154268,-0.762632080554934,-0.623709616662949,1.24299875442416,3.92950697467587,0.275245489784668,-1.03939932890086,-0.548205992262069,1.39336128145744,3.93536545093014,0.699729293386671,-0.988790638579697,-0.504570890779219,1.62283666638228,3.11928976837475
"P28288",0.666756591884803,-0.935586169497179,-0.361991056585811,1.2603268134703,4.01676372498934,0.764940573125606,-0.823447435831509,-0.516883333516959,1.31556623031895,4.0679828301843,0.661931977036267,-0.732596043016098,-0.69201199250266,1.25120402291466,4.07141945648989,0.671112174912776,-0.772061814478441,-0.669671072697674,1.23970353548848,3.99837605443825,0.37528970853542,-1.05607117407658,-0.548986757056027,1.39006230892908,3.96402890000206,0.713255901730974,-0.942501205555635,-0.462216903620908,1.51349074558812,3.97828716834105
"P61221",1.69679508779914,1.08637616759694,-0.100793427330321,-0.917488147834642,-1.30493265890216,1.81790972170135,1.33399611819645,0.0492125346325603,-0.795633879728825,-1.22843552551249,1.69474650057791,1.16021027985079,-0.130665510479355,-1.0267046642881,-1.3868455715687,1.56968551215184,1.23284491887051,0.103128316217225,-0.811573754073749,-1.42194045179221,1.81475548280987,1.11796095273242,-0.229737574045193,-0.931645619609244,-1.17153089311827,2.10259094958809,1.2573727556068,-0.16899836752782,-0.789087521064725,-1.04239736915737
"Q8NE71",1.56432938684294,1.5842409728037,0.492006975593955,-0.469349898273043,-1.64991015962283,1.85941302958595,1.86195536414487,0.820403647862436,-0.162524953302072,-1.54296261763726,1.56803210477128,1.59115278979323,0.58072437630872,-0.434500306833801,-1.64349556109121,1.60630008368685,1.87668392117905,0.96805387757936,-0.0202965535653021,-1.71667083194836,1.60155390366233,1.59038644335064,0.236094578637878,-0.447839373991085,-1.52774099832056,1.99981965184789,1.70438508336904,0.38316512484753,-0.252363399794003,-1.36668969743772
"Q9UG63",1.99269593170909,1.25713134077343,-0.0746993187504738,-0.914711325183013,-1.55881401398288,2.18779941252469,1.55326219027243,0.22675512326982,-0.705052889758734,-1.44854796685449,1.91540616895017,1.31747773708683,-0.0274690839322964,-0.996138749058683,-1.60840822919245,1.9430586388904,1.54888046258322,0.343692069179019,-0.672358618868814,-1.6420089199083,2.09261339271428,1.31817220300303,-0.255752775953346,-0.906034249630553,-1.26878199511071,2.40958101990255,1.47871300244172,-0.114659921775334,-0.722372252340995,-1.10193873053938
"Q9NUQ8",0.91861521548657,0.350723534441022,-0.580504255151317,-1.17892658864487,-0.97230804670967,0.982582946922591,0.601981699832637,-0.510374861853821,-1.21537876360275,-1.0130430374756,1.00741081295462,0.891574725096554,-0.347563985950531,-1.19733526948154,-1.02221453482312,0.994000357693875,0.965913544347003,-0.169095690197941,-1.03596370442525,-1.15245200173602,0.930548119247855,0.625457536573307,-0.586145995954073,-1.07357542871431,-0.782198523820041,1.11002909279937,0.607294800819213,-0.605924934374263,-1.01741705307741,-0.74707575708485
"Q9UNQ0",-0.362918429239933,-0.190256304883255,0.278698481668324,0.988557451362822,2.86076420262883,-0.308948302941892,-0.0851446707425065,0.217975140922887,0.97364800821647,3.02536550219641,-0.361397850778437,-0.0878100315175578,0.093154487907083,0.91418179500227,2.93725021838207,-0.570678630058558,-0.383924658428595,-0.197236023098885,0.643117340752295,2.5170740798157,-0.738360873866291,-0.602021844823384,-0.174442291587934,0.993275822202105,2.67615455223729,-0.340276337172319,-0.437388781521329,-0.054572083103475,1.21983452388537,2.79672233373328
"Q9NUJ1",-1.09890720761752,-0.602985671430331,3.65214227213666,4.99136311254542,5.17300747047983,-1.06509857947559,-0.437642775407882,3.5131117041074,5.0760031844754,5.09857957134249,-1.12346537285518,-0.412078202634097,3.5131117041074,3.4727476930995,4.06289881671565,-1.22078231068535,-0.607770515599024,3.05446648550355,3.51298533481368,2.97731656290871,-1.22280124285048,-0.798767640270606,3.43269221678717,5.27045418940571,5.86703157591929,-0.880072834593759,-0.596732277660699,3.56022582239965,4.77978500530113,5.34539637539127
"Q8NFV4",NA,NA,NA,NA,NA,-1.1314712603137,-0.390944810610727,3.60703434594862,4.74281466986289,4.80926008201514,-1.28465131121028,-0.369874147675619,2.7129918894618,4.61723970169549,3.70210340662939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q8N2K0",0.290070469601541,-0.889209156824395,-0.342561208765581,1.11796095273242,2.30217279974075,0.383386346199016,-0.691429429061097,-0.477662972821065,1.18497845969333,3.07044085179422,0.246347276900915,-0.6071330837692,-0.54841696811002,1.13428666468905,2.59836520532364,0.193834810653838,-0.686777370854728,-0.585020209676979,0.876094512729909,2.96842257983312,-0.107041722721388,-1.02882251169157,-0.339564197241335,1.35918378997451,3.18810019991299,0.304978235803961,-0.957271624551374,-0.271182631305963,1.55694435279489,2.99953104790287
"Q96IU4",NA,NA,NA,NA,NA,-1.47798443789014,-1.31229427549009,-1.79510807516277,-1.70589981792656,0.227248183780733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O95870",-0.0668957471487586,-0.85277146288772,-0.204681886614872,1.09200441794418,3.09465834265454,-0.029308289906045,-0.694437984379516,-0.28730738286126,1.10675031506087,2.74674271577774,-0.0349878214648453,-0.616635774409712,-0.392004572215274,1.05004887960722,2.13346488779486,-0.120858877040699,-0.766897293705154,-0.505717528207265,1.13750352374994,2.67181418875965,-0.281210971980016,-0.995333224168472,-0.210062131019805,1.36703551615501,2.96879118788359,0.172615521813478,-0.799269674253084,-0.179514657013621,1.57657050911432,3.12096565199876
"Q5VST6",0.469885976274464,-0.348757684697423,-0.462594585491094,0.0756010848240282,0.868923771325607,0.870660626679281,-0.35710438776017,-0.666942711550055,-0.00400181033291462,0.768332557385821,0.760178357054385,-0.351884343625118,-0.752752991633719,0.105275783415687,0.70310069960416,0.820485342986379,-0.475194099097262,-0.624198748737778,0.076695901830383,0.674099028537714,0.535356258603784,-0.593376259164514,-0.6659581008547,0.287945038644519,0.634686192669865,1.17191134655269,-0.350964034436787,-0.680590161822637,0.528071164578735,1.01955959471856
"Q9BV23",0.538438835250758,-0.862286644958751,-0.379150878762396,0.890252115157069,1.86746161365713,0.575796375329082,-0.662208998193333,-0.44418384493836,0.744677789317074,1.85758295538415,0.54468320538365,-0.703290051326858,-0.651178383399868,1.1598874787305,3.07308327684665,0.457646819392444,-0.733843136353382,-0.708985898582697,0.832282435700976,1.82117956482338,0.088548697010238,-0.95575977632049,-0.457256592867143,1.35760830381385,2.7134758750547,0.505077914751614,-0.811371199487121,-0.297821218264927,1.35636921371623,1.72639529165045
"Q8IZP0",0.403704010250962,0.408711861029429,-0.0928170478209932,-0.83184579078259,-0.8614738368413,0.517729220357276,0.882212621892863,0.0184917490398792,-0.569008273874557,-0.688868940893262,0.208642109015166,0.537246360979073,-0.0244285057867937,-0.627761070473387,-0.745019032819342,0.328376934032666,0.435735258873468,0.0916659875218129,-0.61595019320484,-0.763929919702929,0.439889047619779,0.510253052854791,-0.412442982570392,-0.847933429369639,-0.791532682903669,0.872237773642459,0.751977806587636,-0.406273351897556,-0.591070800157131,-0.596405049358335
"Q9NYB9",0.0462815032119103,0.452595434702869,-0.187279996604219,-0.757769457062474,-0.906872562033217,0.699107384624001,0.789103217501382,0.0154975693953256,-0.496325613819527,-0.739588873691508,0.463831679539649,0.581977845763114,-0.349400854892592,-0.536942596009827,-0.739083100110397,0.284395680512877,0.504467852705359,-0.0682110609511636,-0.679064820902981,-0.980454638026048,0.660381035242411,0.104739216216237,-0.316096980025052,-0.715604319487123,-0.949365967255212,NA,NA,NA,NA,NA
"P00519",0.0842003616746553,0.627046459392409,0.120086470672526,-0.722776958756776,-1.11966711132536,0.70787813281685,0.803392378827051,0.382611923015188,-0.118116154671196,-0.565139625550897,NA,NA,NA,NA,NA,0.0927486855395238,1.02941754683509,0.542109438331943,0.271425676092934,-0.82748688232057,NA,NA,NA,NA,NA,0.776440928587544,0.976803526489566,0.315798063043357,-0.215529519811619,-0.300004256332604
"P42684",0.519441259628039,0.595694606838921,-0.23359989619377,-0.988933798593795,-0.931232898242924,0.735695463590769,0.675364312749146,-0.042233949044338,-0.634464225145725,-0.956795501434832,0.531867995605555,0.670115181284294,-0.0242964519922333,-0.681816225396771,-1.05283508680929,0.557777671394926,1.33850998980603,0.419754605485611,-0.603840510926846,-0.964066471876898,0.884246239527671,0.604830437099103,-0.391133996668971,-0.668065529561186,-0.649683808360009,1.0620526156631,0.838669450993192,-0.233905257201659,-0.447622928905131,-0.604651980989404
"O14639",-1.02899913939023,-0.0328018747122408,0.971148051860307,0.551786689812224,-0.307108643032554,-0.814209554895681,0.0663992289113826,1.08943035342652,1.94792793123809,-0.309341544233101,-1.03975520573969,-0.00753608976812912,1.42867840994823,2.42061713897869,-0.616082860917554,-1.41942997214985,-0.537570692194744,0.954940735089093,1.77273024776718,2.39878814763377,-1.53186506982298,-0.271583125994157,1.48098887347869,1.84012077346153,-0.411387293486214,-1.2903211683019,-0.208761038154627,1.0245324503839,1.94470854762663,2.1933301953843
"Q12979-2",-0.735547641088728,-0.339637221058367,-0.492525007649585,-0.158687009723819,-0.445283460114223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P09110",0.674370254302114,-0.96505185204012,-0.378175514464356,1.23161672738537,3.53965513692041,0.77542987087574,-0.871363455253939,-0.565865542090664,1.33890927280892,3.58988330717863,0.725523045529028,-0.800475269064931,-0.653445845346033,1.26777547826879,3.88009774972197,0.713607842951452,-0.835496883371184,-0.576690762757613,1.29231058820443,3.69253878837796,0.455228571117139,-1.09841286944684,-0.510662591110618,1.28930331402435,2.98941153106785,0.748117693285568,-0.959626542068372,-0.382964875361708,1.39358094497138,3.28248428618214
"P42765",-1.17846936780183,-0.639467161342239,3.66641575752304,4.35035579946003,4.46061152286663,-1.10777219730402,-0.491855350542437,3.48362233032349,4.60478300420992,4.49076264807755,-1.14111188468358,-0.430664463062286,3.26918279585539,4.376637677588,4.44287716351736,-1.26409662032679,-0.626736001743017,3.31740537765874,4.60306250822372,4.43476164991009,-1.20872769222341,-0.830767658428986,3.21135490969686,4.57839533649438,4.63308241032793,-0.867567927607753,-0.636660688370521,3.29459134334271,4.74625901374597,4.64760232900762
"Q13085",-0.986187605312715,-0.753871661568416,-0.731038690770977,-0.585388158545835,-0.327982064735468,-0.887980512845207,-0.656921974261146,-0.848608738969927,-0.630661947749078,-0.306180773039082,-0.833027527589305,-0.420414331951846,-0.768887133504861,-0.419449266868306,-0.265465952219819,-1.33584487522255,-0.671990795540698,-0.761335407885383,-0.592962745418321,-0.603818585636902,-1.18164023517696,-0.835805850239937,-0.739733413002432,-0.256183469762226,-0.37600207511586,-0.763268610475204,-0.655171503002559,-0.776676310499953,-0.174572547214859,-0.177082262917885
"Q709F0",0.634221511685112,-0.95399795345548,-0.360712260484157,1.21567859660793,1.81377093201582,0.660928616868756,-0.822452095271854,-0.38243820702281,1.30474465771863,3.41805498419237,0.731791478717128,-0.770855104947012,-0.606561832508167,1.25574242097253,1.18979293782026,0.765195248763837,-0.692408270054939,-0.547025097329663,1.11703005301019,3.20593983247088,0.305095010666697,-1.01662875095202,-0.529822389224457,1.51354127692876,-1.09668401853507,0.810813241830015,-0.872683685809202,-0.402530801615119,1.49835300161451,-1.20779431893489
"Q9H845",-1.18790434787928,-0.670497476867995,3.38391161099632,4.53294028837287,4.91681100520158,-1.14279926611521,-0.483803266447445,3.33041498385285,4.68128058495065,4.9470115128094,-1.17670715780173,-0.436802812392119,3.05641011709855,4.61506311393068,4.97833293549279,-1.27963396868119,-0.66170681011036,3.12946437292226,4.71325590173097,4.99981965184789,-1.28736020206915,-0.832642072261486,3.07531013434888,4.64541345964444,5.02054664877004,-0.919342336654775,-0.661729633049508,3.11659764530336,4.85444454881593,5.26569942585514
"P11310",-1.19558292107448,-0.700192677767568,3.76245512676321,4.82293404802837,4.95382395394117,-1.12283687079079,-0.50969686985397,3.60904573067554,5.13010717865883,5.06104170478987,-1.187575708264,-0.473109887476768,3.39629651666892,5.17024556472346,4.97535504657542,-1.33471639034189,-0.706158700733261,3.32739994609742,5.05024047373097,5.01297085583365,-1.26555266254379,-0.931205387682758,3.41805498419237,4.93470520017256,5.96185480763616,-0.95335528402908,-0.709622782353314,3.46034940530761,5.403097261532,5.6284819943839
"P16219",-1.19535163787399,-0.696423800303359,2.04896850932574,0.805375010894768,4.47806579277635,-1.13479380341283,-0.566271360479123,2.11059710271198,3.21992743015715,-0.187033616513867,-1.1391722439234,-0.434110415596811,-2.85893348821186,1.65471048828597,2.76682834854715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P45954",-1.09178657878393,-0.530634946295157,2.56932095279455,8.69707181367268,3.02899341187955,-1.13083926159988,-0.453675941721214,3.65889695712685,3.00239648897553,2.17152710603881,-1.11113403593266,-0.400187108807862,2.81101883301798,2.38175404074241,4.83354793554606,-1.24359152376618,-0.608496211814271,0.178109076094325,8.2149019101607,1.60179158386203,-1.23327764078861,-0.875830702553152,1.69381030797491,2.20758054618695,3.65145358008402,-0.928759046444441,-0.721586969708403,2.02743718270685,-1.45087301980073,1.83709553566317
"P49748-3",-1.18357232129865,-0.623131765206929,3.35318212035786,4.29035067472048,4.50143914515887,-1.10683974184183,-0.470988688737849,3.21525923785958,4.40081114140935,4.54058528784615,-1.1305549524787,-0.426800003671924,3.04493612112532,4.27939700459469,4.50925245223937,-1.28982725172034,-0.633501525418691,3.05311133645956,4.34886976151828,4.36765063062196,-1.25890843281381,-0.848582759677784,3.05751958919928,4.5795422249369,4.61010944721642,-0.925001418856012,-0.63227110089248,3.05208544158127,4.78088748150546,4.67728271544843
"Q15057",0.0930192331335447,-0.049412143856959,-0.64487094151583,-0.959458206137153,-0.40113937022571,0.289598422140188,0.300299473665638,-0.506188732720723,-0.85423125851476,-0.485620161259394,0.28936234047694,0.328376934032666,-0.465061887902931,-0.886326168272881,-0.435085341327174,0.020484422065084,0.0760117385696413,-0.515377184062186,-1.01080284992266,-0.713544628325109,-0.0457441214992858,-0.0936789004222293,-0.597081403010713,-0.873502835907084,-0.542395202483386,0.375734538583156,0.214870834003905,-0.468012267072017,-0.577766999316952,-0.448154261186483
"P24752",-1.15691661431097,-0.589181332737301,3.47209780118306,4.62345721312117,4.91528186586766,-1.0838749956149,-0.428099947514568,3.4662355621504,4.88274085587968,4.84579110371371,-1.14701039964777,-0.398664796710416,3.19410281574348,4.61010944721642,4.92195991732617,-1.27900364971352,-0.626290546760354,3.16777538816081,4.5609594583376,4.86359160704187,-1.18167296085245,-0.821304478046209,3.19957812494077,5.17016543058059,5.35222885593397,-0.863703598787719,-0.605990807350944,3.27874307834448,5.09592441999854,5.43329332581501
"Q9BWD1",-1.53880674631077,-1.29381869818326,-1.55715733050029,-1.52520576115409,-0.470528840123737,-1.42553998252781,-1.30525349942209,-1.68812492409501,-1.57849929904141,-0.690265007424584,-1.38394348408859,-1.05523149123204,-1.56896546964839,-1.31376394445815,-0.312670511539921,-1.7048177201426,-1.15688444540432,-1.36397636172481,-1.50803405727173,-0.669671072697674,-1.75467472033721,-1.44108586991762,-1.76013763323354,-1.18294984156748,-0.777937375222512,-1.11938499516094,-1.50156529632176,-1.60638610838604,-0.748699008740033,-0.612902198139128
"Q9H3P7",-1.16783100729079,-0.88390144776342,-0.702069079912638,0.0382956981815445,0.858060589899648,-1.30105257811346,-0.899722010407655,-0.748868707621707,-0.13354299633674,0.807684643243107,-1.23646944527832,-0.715651703302968,-0.545297671836312,-0.0380655720526741,1.13481235635176,-1.39482809212735,-0.878454050153041,-0.770190614422491,-0.194294815161489,0.81573936216664,-1.55359553750154,-1.00520307330861,-0.596383236776922,0.244521773632056,0.885652451299587,-1.20916124945893,-0.99202952735343,-0.742965236472332,0.269751322048375,0.669571076038966
"Q5T8D3-3",0.596935142387232,-0.99202952735343,-0.379901607963214,1.37473347803121,4.58958373803349,0.759922794175581,-0.838099422082609,-0.501973852917404,1.43065995030514,3.07310041964487,0.618238655595455,-0.774675705875207,-0.700896042607883,1.35157179605781,3.19668572296163,0.574053054041764,-0.816773940515464,-0.637356184753102,1.43712118438419,3.85109937011867,0.317535622016354,-1.05319429380946,-0.409412351301156,1.71558591418774,2.93743855977149,0.643117340752295,-0.904791199207489,-0.338432800472854,1.88397265022008,3.48529800936214
"Q9UKV3",0.42212533285652,2.79744883423322,0.560617141325461,-0.873159264722307,-1.48834980098136,-0.068377450423071,1.96923339326357,-0.144791641935088,-1.65330969708557,-2.19832810899556,1.54542478570302,2.58103784578675,0.307195343513885,-1.30696585495466,-1.87440179371845,-0.00685463283807697,1.93274152742342,-0.38364230300331,-2.03534261162342,-2.74245827804307,0.722028777902844,2.60637115765986,0.23780842954562,-1.07972194631649,-1.83866693493523,0.267595721851879,2.01980864502279,-0.249513546106106,-1.49602038273997,-2.27550688363865
