"","126.Rep1","127N.Rep1","127C.Rep1","128N.Rep1","128C.Rep1","129N.Rep1","129C.Rep1","130N.Rep1","126.Rep2","127N.Rep2","127C.Rep2","128N.Rep2","128C.Rep2","129N.Rep2","129C.Rep2","130N.Rep2","126.Rep3","127N.Rep3","127C.Rep3","128N.Rep3","128C.Rep3","129N.Rep3","129C.Rep3","130N.Rep3"
"A0AVF1",0.0759981377171611,0.0528053835919211,0.0439112675709764,0.0843956896537233,0.166369108906197,0.154534230401599,0.176645048073123,0.2453411340853,0.0702180588674521,0.0674455637875895,0.0543591555449848,0.0689058600779196,0.155494043690311,0.21047521338002,0.193959233619351,0.179142871032372,0.0561127237585982,0.0676644820145719,0.0535999361885467,0.0748917121248401,0.145819485112113,0.206966652889846,0.148945246801416,0.245999761110068
"A0AVT1",0.0613983196167502,0.0310364329031224,0.0542578883254037,0.130858692691648,0.173547262658629,0.150093922245628,0.160187099399757,0.238620382159062,0.0412796081018617,0.0334762063934274,0.0395209762681892,0.119604973060369,0.181728190336131,0.191477407433941,0.188704430118481,0.2042082082876,0.0477951308006266,0.0409146341155477,0.0576183847331211,0.109562713217901,0.156170462188541,0.179983952175462,0.151769880999354,0.256184841769447
"A0FGR8",0.477318586216945,0.355670130953486,0.107941407535013,0.0277112657214723,0.0112994843253811,0.00923033451205311,0.00676043655805687,0.00406835417759305,0.486101718171781,0.297365925377815,0.145004014400268,0.0370221811722211,0.0131416282466594,0.00849941165935862,0.00556762900582076,0.00729749196607648,0.658980740741567,0.235213846879444,0.0543483557000682,0.0232961650073335,0.0129971272958471,0.00669423232296238,0.00496519791895918,0.00350433413381825
"A0MZ66",0.185400638634774,0.0722589839537624,0.171416716596012,0.180019336816766,0.105553225801321,0.0778278274905831,0.0898865014444985,0.117636769262283,0.102737780621632,0.0576139871425273,0.127795622538438,0.227712728161492,0.150110189348133,0.110591731338044,0.0979428959160263,0.125495064933706,0.174578635401607,0.0644096544652633,0.177309583755514,0.179240689237001,0.121369988882924,0.102614700995884,0.0800525973380814,0.100424149923725
"A0PK00",0.300444331220469,0.418844226225327,0.186354157294605,0.0360208331777246,0.0138556785356976,0.0189529781834377,0.0145035864562174,0.0110242089065213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1A4S6",0.122532198004818,0.108889114561222,0.0887462223610467,0.0872533655098182,0.0899852895168688,0.146982665830191,0.173106397246725,0.182504746969311,NA,NA,NA,NA,NA,NA,NA,NA,0.227623089351748,0.16006951221442,0.0930025387566982,0.0790356516110482,0.0666000418204195,0.093936958854399,0.119173173398057,0.16055903399321
"A1L0T0",0.375153866625287,0.43112355382295,0.129258479425584,0.0353772784485602,0.0115095137579135,0.00813628149431148,0.00508556186471855,0.00435546456067521,0.327011451228868,0.373969441671297,0.175536421076575,0.06000521707278,0.0263324056772224,0.0145569465902146,0.0114649657761889,0.011123150906854,0.491508194125859,0.315929069301956,0.0930686395630275,0.0467419699015325,0.0246876204531104,0.0136560821729405,0.00832106435125653,0.0060873601303179
"A1L390",0.0765916578516004,0.532148907732578,0.18772072802422,0.0702618206693219,0.0440615327002843,0.0325915285723755,0.0308236381768704,0.0258001862727499,0.21552437329636,0.306229300633523,0.204791527009655,0.0973125197230979,0.0605395390243092,0.0455845086885008,0.0367943565372697,0.0332238750872852,0.261794863026238,0.419975613975658,0.134313806702575,0.0574135129413872,0.042500888024197,0.0335543239652269,0.0241651602963012,0.0262818310684168
"A1X283",0.137137953689629,0.0859222786944967,0.0806846886223698,0.0717564908440353,0.111128507755743,0.126685188129177,0.155530663669536,0.231154228595014,0.0704234525246965,0.0808712740160202,0.0726893838993934,0.0549465357234473,0.107913772056719,0.158299816478628,0.191575859584115,0.26327990571698,0.0938379608536253,0.0881024229924956,0.0559817203499564,0.0644499781456317,0.1074631569551,0.145362593544377,0.205735132296174,0.23906703486264
"A2RRP1",0.49235469993727,0.337218655476551,0.101378550951857,0.0321343249665373,0.0131509235453033,0.00925983256743182,0.00680998955379221,0.00769302300125824,0.374285135466391,0.353481997116057,0.149079952710788,0.0594474119449741,0.0266931736726994,0.0160944461405427,0.0109353308922974,0.00998255205625056,0.590546842516445,0.259803565685097,0.0634394531424935,0.0362843903070751,0.0214612036594236,0.0143518125439228,0.00747927079178173,0.00663346135376203
