Gene name canonical,Global classifier2
CSTF3,Mostly Nuclear
CTPS2,Mostly Cytosolic
CUL2,Mostly Cytosolic
DDX17,Mostly Nuclear
DDX49,Mostly Nuclear
DDX5,Mostly Nuclear
DDX54,Mostly Nuclear
DDX55,Mostly Nuclear
DDX56,Mostly Nuclear
DHX37,Mostly Nuclear
DIAPH1,Mostly Cytosolic
DNAAF5,Mostly Cytosolic
EIF2B1,Mostly Cytosolic
ELP2,Mostly Cytosolic
ELP3,Mostly Cytosolic
ENSA,Mostly Cytosolic
EP300,Mostly Nuclear
FHOD1,Mostly Cytosolic
FLII,Mostly Cytosolic
FTSJ3,Mostly Nuclear
FUS,Mostly Nuclear
GAK,Mostly Cytosolic
GET4,Mostly Cytosolic
GIT1,Mostly Cytosolic
GIT2,Mostly Cytosolic
GRIPAP1,Mostly Cytosolic
GSPT1,Mostly Cytosolic
GTF2E1,Mostly Cytosolic
GTF3C1,Mostly Nuclear
GTF3C2,Mostly Nuclear
HCFC1,Mostly Nuclear
HEATR1,Mostly Nuclear
HEXIM1,Mostly Cytosolic
HLTF,Mostly Nuclear
HNRNPA1,Mostly Nuclear
HNRNPDL,Mostly Nuclear
HNRNPH3,Mostly Nuclear
HNRNPL,Mostly Nuclear
HNRNPM,Mostly Nuclear
HNRNPUL2,Mostly Nuclear
HSPA4L,Mostly Cytosolic
HYPK,Mostly Cytosolic
IFI35,Mostly Cytosolic
IK,Mostly Nuclear
ELP1,Mostly Cytosolic
INPPL1,Mostly Cytosolic
INTS1,Mostly Nuclear
IPO5,Mostly Cytosolic
IPO7,Mostly Cytosolic
KHDRBS1,Mostly Nuclear
KIFBP,Mostly Cytosolic
KIF11,Mostly Cytosolic
KIF13A,Mostly Cytosolic
KIF22,Mostly Nuclear
KPNA6,Mostly Cytosolic
KRR1,Mostly Nuclear
LRRFIP1,Mostly Cytosolic
MAP1S,Mostly Cytosolic
MAPK1,Mostly Cytosolic
MAZ,Mostly Nuclear
MDN1,Mostly Nuclear
MED1,Mostly Nuclear
METTL2B,Mostly Cytosolic
MMS19,Mostly Cytosolic
MON2,Mostly Cytosolic
MVD,Mostly Cytosolic
NAA15,Mostly Cytosolic
NAMPT,Mostly Cytosolic
NAT10,Mostly Nuclear
NIFK,Mostly Nuclear
NOC4L,Mostly Nuclear
NONO,Mostly Nuclear
NOP16,Mostly Nuclear
NUDT16L1,Mostly Nuclear
ORC4,Mostly Nuclear
ORC6,Mostly Nuclear
OXSR1,Mostly Cytosolic
PAIP1,Mostly Cytosolic
PAPSS2,Mostly Cytosolic
PARG,Mostly Cytosolic
PDCL3,Mostly Cytosolic
PDS5A,Mostly Nuclear
PFDN1,Mostly Cytosolic
PFDN2,Mostly Cytosolic
PFKL,Mostly Cytosolic
PFKP,Mostly Cytosolic
PINX1,Mostly Nuclear
PLRG1,Mostly Nuclear
POLR1A,Mostly Nuclear
PPID,Mostly Cytosolic
PPIG,Mostly Nuclear
PPP1R10,Mostly Nuclear
PPP2R1A,Mostly Cytosolic
PPP2R1B,Mostly Cytosolic
PPP2R5A,Mostly Cytosolic
PPP2R5D,Mostly Cytosolic
PRKAA1,Mostly Cytosolic
PRKD3,Mostly Cytosolic
PRMT5,Mostly Cytosolic
PRPF4B,Mostly Nuclear
PRPS1,Mostly Cytosolic
PRPSAP1,Mostly Cytosolic
PSMA1,Mostly Cytosolic
PSMB1,Mostly Cytosolic
PSMB2,Mostly Cytosolic
PSMC2,Mostly Cytosolic
PSMC3,Mostly Cytosolic
PSMD11,Mostly Cytosolic
PSMD12,Mostly Cytosolic
PSMD2,Mostly Cytosolic
PSPC1,Mostly Nuclear
PTBP2,Mostly Nuclear
RAVER1,Mostly Nuclear
RBFOX2,Mostly Nuclear
RBM10,Mostly Nuclear
RBM14,Mostly Nuclear
RBM15,Mostly Nuclear
RBM19,Mostly Nuclear
RBM28,Mostly Nuclear
RBM6,Mostly Nuclear
ROCK1,Mostly Cytosolic
RPS6KA1,Mostly Cytosolic
RRP36,Mostly Nuclear
SEC16A,Mostly Cytosolic
SLK,Mostly Cytosolic
SLTM,Mostly Nuclear
SMC1A,Mostly Nuclear
SNRNP70,Mostly Nuclear
SNRPA,Mostly Nuclear
SNRPE,Mostly Nuclear
SNW1,Mostly Nuclear
SREK1,Mostly Nuclear
SRSF7,Mostly Nuclear
SRSF9,Mostly Nuclear
STAT1,Mostly Cytosolic
STAT3,Mostly Cytosolic
STAT6,Mostly Cytosolic
STRBP,Mostly Nuclear
SURF6,Mostly Nuclear
TACC2,Mostly Cytosolic
TARDBP,Mostly Nuclear
TBCE,Mostly Cytosolic
TCERG1,Mostly Nuclear
TCF20,Mostly Nuclear
TMOD3,Mostly Cytosolic
TOPBP1,Mostly Nuclear
TOX4,Mostly Nuclear
TPD52L1,Mostly Cytosolic
TPX2,Mostly Nuclear
TSN,Mostly Cytosolic
TSNAX,Mostly Cytosolic
TXNDC9,Mostly Cytosolic
U2AF1,Mostly Nuclear
UBE2V1,Mostly Cytosolic
UBE2V2,Mostly Cytosolic
UBE3C,Mostly Cytosolic
UBLCP1,Mostly Cytosolic
UBR4,Mostly Cytosolic
UCHL5,Mostly Cytosolic
BLTP3A,Mostly Cytosolic
UNC45A,Mostly Cytosolic
USP9X,Mostly Cytosolic
UTP18,Mostly Nuclear
WDR26,Mostly Cytosolic
WDR77,Mostly Cytosolic
XRCC1,Mostly Nuclear
YWHAB,Mostly Cytosolic
YWHAG,Mostly Cytosolic
YWHAH,Mostly Cytosolic
YWHAQ,Mostly Cytosolic
ZNF638,Mostly Nuclear
ACLY,Mostly Cytosolic
ACTR1B,Mostly Cytosolic
ADRM1,Mostly Cytosolic
AK1,Mostly Cytosolic
ARMC8,Mostly Cytosolic
ASS1,Mostly Cytosolic
ATG16L1,Mostly Cytosolic
ATM,Mostly Nuclear
AVL9,Mostly Cytosolic
BLVRA,Mostly Cytosolic
BMS1,Mostly Nuclear
CAD,Mostly Cytosolic
CAP1,Mostly Cytosolic
CAP2,Mostly Cytosolic
CARM1,Mostly Cytosolic
CCDC43,Mostly Cytosolic
CDC45,Mostly Cytosolic
CDK5,Mostly Cytosolic
CGGBP1,Mostly Nuclear
CIAO1,Mostly Cytosolic
CLIP1,Mostly Cytosolic
CLUH,Mostly Cytosolic
COMMD4,Mostly Cytosolic
COPS2,Mostly Cytosolic
CPNE3,Mostly Cytosolic
CTPS1,Mostly Cytosolic
DCAF13,Mostly Nuclear
DDX27,Mostly Nuclear
DDX31,Mostly Nuclear
DDX50,Mostly Nuclear
DDX52,Mostly Nuclear
DKC1,Mostly Nuclear
DNM1L,Mostly Cytosolic
DNMT1,Mostly Nuclear
EBNA1BP2,Mostly Nuclear
EPPK1,Mostly Cytosolic
EXO1,Mostly Nuclear
FAF1,Mostly Cytosolic
FHIP2A,Mostly Cytosolic
CIAO2B,Mostly Cytosolic
FASN,Mostly Cytosolic
FIP1L1,Mostly Nuclear
FTSJ1,Mostly Cytosolic
FUBP1,Mostly Nuclear
GBF1,Mostly Cytosolic
GDI2,Mostly Cytosolic
NOP53,Mostly Nuclear
GRB2,Mostly Cytosolic
GTF3C3,Mostly Nuclear
MACROH2A1,Mostly Nuclear
HELLS,Mostly Nuclear
HERC4,Mostly Cytosolic
HGH1,Mostly Cytosolic
H2BC12,Mostly Nuclear
H3C15,Mostly Nuclear
HNRNPA3,Mostly Nuclear
HNRNPK,Mostly Nuclear
HSPA4,Mostly Cytosolic
HSPBP1,Mostly Cytosolic
HSPH1,Mostly Cytosolic
HUWE1,Mostly Cytosolic
IDE,Mostly Cytosolic
IPO4,Mostly Cytosolic
IPO8,Mostly Cytosolic
IPO9,Mostly Cytosolic
IRS2,Mostly Cytosolic
KEAP1,Mostly Cytosolic
KLC1,Mostly Cytosolic
LRBA,Mostly Cytosolic
LYAR,Mostly Nuclear
MAP2K1,Mostly Cytosolic
MAPK3,Mostly Cytosolic
MATR3,Mostly Nuclear
MED14,Mostly Nuclear
MED24,Mostly Nuclear
MED6,Mostly Nuclear
MFAP1,Mostly Nuclear
MPHOSPH10,Mostly Nuclear
MTRR,Mostly Cytosolic
NAF1,Mostly Cytosolic
NAP1L1,Mostly Cytosolic
NAP1L4,Mostly Cytosolic
NARS1,Mostly Cytosolic
NCOA7,Mostly Cytosolic
NEK9,Mostly Cytosolic
SNU13,Mostly Nuclear
NIP7,Mostly Nuclear
NMI,Mostly Cytosolic
NOL11,Mostly Nuclear
NOP14,Mostly Nuclear
NQO1,Mostly Cytosolic
NT5C2,Mostly Cytosolic
NUDCD1,Mostly Cytosolic
NUDT4,Mostly Cytosolic
PAICS,Mostly Cytosolic
PAPOLA,Mostly Cytosolic
PDCD5,Mostly Cytosolic
PFDN5,Mostly Cytosolic
PGK1,Mostly Cytosolic
PHGDH,Mostly Cytosolic
PKN1,Mostly Cytosolic
POLA1,Mostly Cytosolic
POLD2,Mostly Cytosolic
PPAN,Mostly Nuclear
PPAT,Mostly Cytosolic
PPHLN1,Mostly Nuclear
PPP2CB,Mostly Cytosolic
PPP2R2A,Mostly Cytosolic
PPP5C,Mostly Cytosolic
PPP6C,Mostly Cytosolic
PPP6R1,Mostly Cytosolic
PPP6R3,Mostly Cytosolic
PRDX2,Mostly Cytosolic
PRIM1,Mostly Cytosolic
PRIM2,Mostly Cytosolic
PRKAG1,Mostly Cytosolic
PRKAR1A,Mostly Cytosolic
PRKCI,Mostly Cytosolic
PRMT1,Mostly Cytosolic
PRPF40A,Mostly Nuclear
PRPS2,Mostly Cytosolic
PRPSAP2,Mostly Cytosolic
PSMA2,Mostly Cytosolic
PSMA3,Mostly Cytosolic
PSMA4,Mostly Cytosolic
PSMA5,Mostly Cytosolic
PSMA6,Mostly Cytosolic
PSMA7,Mostly Cytosolic
PSMB3,Mostly Cytosolic
PSMB4,Mostly Cytosolic
PSMB5,Mostly Cytosolic
PSMB6,Mostly Cytosolic
PSMB7,Mostly Cytosolic
PSMC1,Mostly Cytosolic
PSMC4,Mostly Cytosolic
PSMC5,Mostly Cytosolic
PSMC6,Mostly Cytosolic
PSMD1,Mostly Cytosolic
PSMD13,Mostly Cytosolic
PSMD14,Mostly Cytosolic
PSMD3,Mostly Cytosolic
PSMD4,Mostly Cytosolic
PSMD5,Mostly Cytosolic
PSMD6,Mostly Cytosolic
PSMD7,Mostly Cytosolic
PSMD8,Mostly Cytosolic
PTPN12,Mostly Cytosolic
PUS7,Mostly Cytosolic
PYGB,Mostly Cytosolic
RAB3GAP1,Mostly Cytosolic
RAB3GAP2,Mostly Cytosolic
RAD23A,Mostly Cytosolic
RAD23B,Mostly Cytosolic
RALY,Mostly Nuclear
RANBP9,Mostly Cytosolic
RBM25,Mostly Nuclear
RBMX,Mostly Nuclear
RCL1,Mostly Nuclear
REXO4,Mostly Nuclear
RFC1,Mostly Nuclear
RPAP2,Mostly Cytosolic
RPF1,Mostly Nuclear
RPF2,Mostly Nuclear
RPS6KA3,Mostly Cytosolic
RRP7A,Mostly Nuclear
RRS1,Mostly Nuclear
RSRC2,Mostly Nuclear
SCAF4,Mostly Nuclear
SFPQ,Mostly Nuclear
SMC3,Mostly Nuclear
SNX1,Mostly Cytosolic
SON,Mostly Nuclear
SPAG9,Mostly Cytosolic
SRFBP1,Mostly Nuclear
SRSF10,Mostly Nuclear
ST13,Mostly Cytosolic
TANGO6,Mostly Cytosolic
TBCD,Mostly Cytosolic
TBK1,Mostly Cytosolic
ELOB,Mostly Cytosolic
TNPO1,Mostly Cytosolic
TP53RK,Mostly Cytosolic
TRA2A,Mostly Nuclear
TRA2B,Mostly Nuclear
TTC39C,Mostly Cytosolic
TUBA1B,Mostly Cytosolic
TUBA1C,Mostly Cytosolic
TUBA4A,Mostly Cytosolic
TUBB,Mostly Cytosolic
TUBB2B,Mostly Cytosolic
TUBB4B,Mostly Cytosolic
TUBB6,Mostly Cytosolic
TWF1,Mostly Cytosolic
POLR1F,Mostly Nuclear
TXN,Mostly Cytosolic
TXNRD1,Mostly Cytosolic
UBA5,Mostly Cytosolic
UBE2L3,Mostly Cytosolic
UGP2,Mostly Cytosolic
USP14,Mostly Cytosolic
UTP20,Mostly Nuclear
UTP23,Mostly Nuclear
VBP1,Mostly Cytosolic
WARS1,Mostly Cytosolic
WDR33,Mostly Nuclear
WDR46,Mostly Nuclear
WDR6,Mostly Cytosolic
WDR75,Mostly Nuclear
WNK1,Mostly Cytosolic
ZFR,Mostly Nuclear
ZNF326,Mostly Nuclear
ZNF330,Mostly Cytosolic
AAMP,Mostly Cytosolic
AARS1,Mostly Cytosolic
ACO1,Mostly Cytosolic
ADSL,Mostly Cytosolic
AIP,Mostly Cytosolic
AKR1A1,Mostly Cytosolic
ALKBH5,Mostly Nuclear
AMPD2,Mostly Cytosolic
ANP32A,Mostly Cytosolic
ANP32B,Mostly Cytosolic
ANXA11,Mostly Cytosolic
ANXA7,Mostly Cytosolic
AP4E1,Mostly Cytosolic
APEH,Mostly Cytosolic
ARHGAP18,Mostly Cytosolic
ARHGEF5,Mostly Cytosolic
ASNS,Mostly Cytosolic
BAG3,Mostly Cytosolic
BPTF,Mostly Nuclear
BUB1B,Mostly Cytosolic
BUD13,Mostly Nuclear
NCBP3,Mostly Nuclear
NEPRO,Mostly Nuclear
CAPG,Mostly Cytosolic
CAPN2,Mostly Cytosolic
CAPN7,Mostly Cytosolic
CBR1,Mostly Cytosolic
CBX5,Mostly Nuclear
CCDC22,Mostly Cytosolic
CCDC6,Mostly Cytosolic
CDC37,Mostly Cytosolic
CDK13,Mostly Nuclear
CDK4,Mostly Cytosolic
CHMP3,Mostly Cytosolic
CHORDC1,Mostly Cytosolic
CLNS1A,Mostly Cytosolic
CMPK1,Mostly Cytosolic
COMMD3,Mostly Cytosolic
INTS11,Mostly Nuclear
CSE1L,Mostly Cytosolic
CWC25,Mostly Nuclear
TKFC,Mostly Cytosolic
DDX10,Mostly Nuclear
DDX18,Mostly Nuclear
DIS3L,Mostly Cytosolic
DNAJC7,Mostly Cytosolic
DNPEP,Mostly Cytosolic
DPCD,Mostly Cytosolic
DPYSL2,Mostly Cytosolic
ECD,Mostly Cytosolic
ECPAS,Mostly Cytosolic
EML2,Mostly Cytosolic
ENO3,Mostly Cytosolic
RTL8C,Mostly Cytosolic
FKBP4,Mostly Cytosolic
FKBP5,Mostly Cytosolic
GAPVD1,Mostly Cytosolic
GAR1,Mostly Nuclear
GART,Mostly Cytosolic
GCLM,Mostly Cytosolic
GFPT1,Mostly Cytosolic
GID8,Mostly Cytosolic
GLMN,Mostly Cytosolic
GNL1,Mostly Cytosolic
GPI,Mostly Cytosolic
GPN1,Mostly Cytosolic
GTPBP4,Mostly Nuclear
HAT1,Mostly Cytosolic
H1-5,Mostly Nuclear
H1-2,Mostly Nuclear
H1-4,Mostly Nuclear
H4C1,Mostly Nuclear
HNRNPC,Mostly Nuclear
HPD,Mostly Cytosolic
HSP90AA1,Mostly Cytosolic
HSP90AB1,Mostly Cytosolic
HSPB1,Mostly Cytosolic
IGBP1,Mostly Cytosolic
IMPA1,Mostly Cytosolic
IMPA2,Mostly Cytosolic
IMPDH1,Mostly Cytosolic
IMPDH2,Mostly Cytosolic
INTS12,Mostly Nuclear
IPO11,Mostly Cytosolic
ISG15,Mostly Cytosolic
ITPA,Mostly Cytosolic
KHDC4,Mostly Nuclear
KIF20A,Mostly Nuclear
KIF4A,Mostly Nuclear
KIN,Mostly Nuclear
KNOP1,Mostly Nuclear
LDHA,Mostly Cytosolic
LIG3,Mostly Nuclear
LSM1,Mostly Cytosolic
MAD2L1,Mostly Cytosolic
MADD,Mostly Cytosolic
MAP2K6,Mostly Cytosolic
MCMBP,Mostly Cytosolic
MDH1,Mostly Cytosolic
ME1,Mostly Cytosolic
MED10,Mostly Nuclear
MED23,Mostly Nuclear
MED31,Mostly Nuclear
MIF,Mostly Cytosolic
MORC2,Mostly Nuclear
MRE11,Mostly Nuclear
MRGBP,Mostly Nuclear
NCAPH2,Mostly Nuclear
NES,Mostly Cytosolic
NIPBL,Mostly Nuclear
NKRF,Mostly Nuclear
NMRAL1,Mostly Cytosolic
NNMT,Mostly Cytosolic
NOP2,Mostly Nuclear
NR3C1,Mostly Cytosolic
NRDC,Mostly Cytosolic
NSFL1C,Mostly Cytosolic
NTHL1,Mostly Nuclear
NTMT1,Mostly Cytosolic
NUCKS1,Mostly Cytosolic
NUDC,Mostly Cytosolic
NUDT1,Mostly Cytosolic
OGFOD1,Mostly Cytosolic
OLA1,Mostly Cytosolic
ORC5,Mostly Nuclear
OSTF1,Mostly Cytosolic
OTUD7B,Mostly Cytosolic
PAFAH1B1,Mostly Cytosolic
PAK2,Mostly Cytosolic
PARP1,Mostly Nuclear
PATZ1,Mostly Nuclear
PDCD2,Mostly Cytosolic
PDXDC1,Mostly Cytosolic
PFN1,Mostly Cytosolic
PGD,Mostly Cytosolic
PITPNA,Mostly Cytosolic
PKM,Mostly Cytosolic
PMM2,Mostly Cytosolic
PNN,Mostly Nuclear
POLR3A,Mostly Cytosolic
PPP2CA,Mostly Cytosolic
PRKCD,Mostly Cytosolic
PRMT3,Mostly Cytosolic
PSMD9,Mostly Cytosolic
PSME1,Mostly Cytosolic
PSME2,Mostly Cytosolic
PSME3,Mostly Cytosolic
PSME4,Mostly Cytosolic
PSMG1,Mostly Cytosolic
PTGES3,Mostly Cytosolic
PTGR1,Mostly Cytosolic
PYGL,Mostly Cytosolic
RAD21,Mostly Nuclear
RAD50,Mostly Nuclear
RANBP1,Mostly Cytosolic
RBBP6,Mostly Nuclear
RBM34,Mostly Nuclear
RNF114,Mostly Cytosolic
RNH1,Mostly Cytosolic
RPL7L1,Mostly Nuclear
RPRD2,Mostly Nuclear
RRM2,Mostly Cytosolic
RRP1,Mostly Nuclear
RRP1B,Mostly Nuclear
RRP8,Mostly Nuclear
RSBN1L,Mostly Nuclear
RSF1,Mostly Nuclear
SAFB,Mostly Nuclear
SAFB2,Mostly Nuclear
SAP18,Mostly Nuclear
SCAF1,Mostly Nuclear
SCAF11,Mostly Nuclear
SERPINB5,Mostly Cytosolic
SFN,Mostly Cytosolic
SMCHD1,Mostly Nuclear
SORD,Mostly Cytosolic
STAG2,Mostly Nuclear
STIP1,Mostly Cytosolic
SUGP2,Mostly Nuclear
TARS1,Mostly Cytosolic
TBC1D15,Mostly Cytosolic
TFG,Mostly Cytosolic
THOC2,Mostly Nuclear
THOC5,Mostly Nuclear
TIGAR,Mostly Cytosolic
TKT,Mostly Cytosolic
TOP1,Mostly Nuclear
TOP2A,Mostly Nuclear
TPD52,Mostly Cytosolic
TRAF2,Mostly Cytosolic
TRAFD1,Mostly Cytosolic
TRIP13,Mostly Cytosolic
RO60,Mostly Cytosolic
TTLL12,Mostly Cytosolic
TUBB3,Mostly Cytosolic
TXNL1,Mostly Cytosolic
TYMS,Mostly Cytosolic
UBE2O,Mostly Cytosolic
UBE2T,Mostly Cytosolic
UBL4A,Mostly Cytosolic
UBR5,Mostly Cytosolic
UGDH,Mostly Cytosolic
USP15,Mostly Cytosolic
UTP11,Mostly Nuclear
UTP3,Mostly Nuclear
VCPIP1,Mostly Cytosolic
WAPL,Mostly Nuclear
WDR3,Mostly Nuclear
WDR74,Mostly Nuclear
YLPM1,Mostly Nuclear
ZFC3H1,Mostly Nuclear
ZNFX1,Mostly Cytosolic
AARSD1,Mostly Cytosolic
AASDHPPT,Mostly Cytosolic
ABR,Mostly Cytosolic
ACAT2,Mostly Cytosolic
ACYP1,Mostly Cytosolic
ADARB1,Mostly Nuclear
ADSS2,Mostly Cytosolic
AFTPH,Mostly Cytosolic
AHCYL1,Mostly Cytosolic
AHSA1,Mostly Cytosolic
AKR1B1,Mostly Cytosolic
ANXA4,Mostly Cytosolic
ATIC,Mostly Cytosolic
BAZ1B,Mostly Nuclear
BROX,Mostly Cytosolic
MYG1,Mostly Cytosolic
ADISSP,Mostly Cytosolic
CAPNS1,Mostly Cytosolic
CBS,Mostly Cytosolic
CCDC18,Mostly Cytosolic
CDCA8,Mostly Nuclear
CDT1,Mostly Nuclear
CEP85,Mostly Cytosolic
CHMP4A,Mostly Cytosolic
CHMP5,Mostly Cytosolic
CIAPIN1,Mostly Cytosolic
CLIC1,Mostly Cytosolic
COMMD7,Mostly Cytosolic
CPNE2,Mostly Cytosolic
CRABP2,Mostly Cytosolic
CSTB,Mostly Cytosolic
CTH,Mostly Cytosolic
DENND5B,Mostly Cytosolic
GSDME,Mostly Cytosolic
DIDO1,Mostly Nuclear
DPP9,Mostly Cytosolic
DUSP3,Mostly Cytosolic
DYNC2H1,Mostly Cytosolic
EED,Mostly Nuclear
ENO1,Mostly Cytosolic
FAM114A1,Mostly Cytosolic
ABRAXAS2,Mostly Cytosolic
FBXO2,Mostly Cytosolic
FDPS,Mostly Cytosolic
FGD1,Mostly Cytosolic
FKBP1A,Mostly Cytosolic
GLRX3,Mostly Cytosolic
GMDS,Mostly Cytosolic
GNB1L,Mostly Cytosolic
GNE,Mostly Cytosolic
GNPDA1,Mostly Cytosolic
GSE1,Mostly Cytosolic
GSS,Mostly Cytosolic
H1-10,Mostly Nuclear
H2AZ1,Mostly Nuclear
HECTD1,Mostly Cytosolic
HMGN2,Mostly Nuclear
HSPA2,Mostly Cytosolic
IDH1,Mostly Cytosolic
IFI16,Mostly Nuclear
IFIT1,Mostly Cytosolic
IMP3,Mostly Nuclear
KCMF1,Mostly Cytosolic
PUM3,Mostly Nuclear
KIAA1217,Mostly Cytosolic
SHTN1,Mostly Cytosolic
LDHB,Mostly Cytosolic
MAEA,Mostly Cytosolic
MED30,Mostly Nuclear
MRI1,Mostly Cytosolic
MTAP,Mostly Cytosolic
MYO9B,Mostly Cytosolic
NDRG1,Mostly Cytosolic
NGDN,Mostly Nuclear
NMNAT1,Mostly Nuclear
NOL12,Mostly Nuclear
PAFAH1B3,Mostly Cytosolic
PBK,Mostly Cytosolic
PCYT1A,Mostly Cytosolic
PDCD6,Mostly Cytosolic
PDCD6IP,Mostly Cytosolic
PDS5B,Mostly Nuclear
PEBP1,Mostly Cytosolic
PGLS,Mostly Cytosolic
PI4KB,Mostly Cytosolic
PIR,Mostly Cytosolic
POLE3,Mostly Cytosolic
PRKD2,Mostly Cytosolic
PSMD10,Mostly Cytosolic
RAD1,Mostly Cytosolic
RAD51AP1,Mostly Nuclear
RBMXL1,Mostly Nuclear
RPS19BP1,Mostly Nuclear
SERPINB1,Mostly Cytosolic
SERPINB6,Mostly Cytosolic
SET,Mostly Cytosolic
SFSWAP,Mostly Nuclear
SGTA,Mostly Cytosolic
SH3GL1,Mostly Cytosolic
SMARCE1,Mostly Nuclear
SMC5,Mostly Nuclear
SRI,Mostly Cytosolic
STAMBPL1,Mostly Cytosolic
SUGT1,Mostly Cytosolic
TAB1,Mostly Cytosolic
TAF6,Mostly Nuclear
TBL3,Mostly Nuclear
TEX10,Mostly Nuclear
THOC7,Mostly Nuclear
TRIP12,Mostly Nuclear
TRIP6,Mostly Cytosolic
TRMT10A,Mostly Cytosolic
UAP1,Mostly Cytosolic
UBA1,Mostly Cytosolic
UBXN1,Mostly Cytosolic
UCK2,Mostly Cytosolic
