Gene name canonical,Global classifier2
ANKFY1,Mostly Cytosolic
STAM,Mostly Cytosolic
STUB1,Mostly Cytosolic
WASH3P,Mostly Cytosolic
ACTR10,Mostly Cytosolic
CCDC93,Mostly Cytosolic
HPS5,Mostly Cytosolic
PDE8B,Mostly Cytosolic
ARL3,Mostly Cytosolic
ATP6V1H,Mostly Cytosolic
BLMH,Mostly Cytosolic
CHMP4B,Mostly Cytosolic
EFL1,Mostly Cytosolic
PFKFB2,Mostly Cytosolic
PTPN23,Mostly Cytosolic
RUFY1,Mostly Cytosolic
TOM1L1,Mostly Cytosolic
AP5Z1,Mostly Cytosolic
COMMD10,Mostly Cytosolic
CRKL,Mostly Cytosolic
DCTN6,Mostly Cytosolic
DMXL1,Mostly Cytosolic
TTC4,Mostly Cytosolic
VIPAS39,Mostly Cytosolic
NUP210,Mostly Nuclear
DUT,Mostly Cytosolic
GARS1,Mostly Cytosolic
NIF3L1,Mostly Cytosolic
PREPL,Mostly Cytosolic
TRMT1,Mostly Cytosolic
BPNT1,Mostly Cytosolic
COASY,Mostly Cytosolic
COG1,Mostly Cytosolic
COG3,Mostly Cytosolic
COG4,Mostly Cytosolic
COG5,Mostly Cytosolic
IDI1,Mostly Cytosolic
LPP,Mostly Cytosolic
LYPLA2,Mostly Cytosolic
PITPNB,Mostly Cytosolic
PTRHD1,Mostly Cytosolic
TWF2,Mostly Cytosolic
UMPS,Mostly Cytosolic
ACBD3,Mostly Cytosolic
AKR7A2,Mostly Cytosolic
ARL2,Mostly Cytosolic
COG7,Mostly Cytosolic
PARK7,Mostly Cytosolic
VCL,Mostly Cytosolic
YKT6,Mostly Cytosolic
ANKMY2,Mostly Cytosolic
ATG3,Mostly Cytosolic
BCR,Mostly Cytosolic
BID,Mostly Cytosolic
COG6,Mostly Cytosolic
CRK,Mostly Cytosolic
CUX1,Mostly Nuclear
GPD1L,Mostly Cytosolic
NME2,Mostly Cytosolic
NPEPPS,Mostly Cytosolic
PEX5,Mostly Cytosolic
PLPBP,Mostly Cytosolic
SAR1A,Mostly Cytosolic
TES,Mostly Cytosolic
TMPO,Mostly Nuclear
TNPO3,Mostly Cytosolic
TPM1,Mostly Cytosolic
TPM3,Mostly Cytosolic
TPM3,Mostly Cytosolic
TPM4,Mostly Cytosolic
TRIM47,Mostly Cytosolic
GSR,Mostly Cytosolic
TOP3A,Mostly Nuclear
NIT2,Mostly Cytosolic
MTHFS,Mostly Cytosolic
QTRT1,Mostly Cytosolic
QTRT2,Mostly Cytosolic
NIT1,Mostly Cytosolic
QDPR,Mostly Cytosolic
REXO2,Mostly Cytosolic
BICD2,Mostly Cytosolic
EPS15,Mostly Cytosolic
CFL2,Mostly Cytosolic
COTL1,Mostly Cytosolic
DSTN,Mostly Cytosolic
TTC1,Mostly Cytosolic
VRK1,Mostly Nuclear
ANXA6,Mostly Cytosolic
GET3,Mostly Cytosolic
GTF2I,Mostly Nuclear
RHEB,Mostly Cytosolic
APPL1,Mostly Cytosolic
CAV1,Mostly Nuclear
DDAH2,Mostly Cytosolic
NIBAN1,Mostly Cytosolic
ISOC1,Mostly Cytosolic
LMNA,Mostly Nuclear
LMNB1,Mostly Nuclear
PPP3R1,Mostly Cytosolic
PXN,Mostly Cytosolic
RMND5A,Mostly Cytosolic
SPDL1,Mostly Cytosolic
SYNE2,Mostly Nuclear
MEAK7,Mostly Cytosolic
DNMBP,Mostly Cytosolic
PCMT1,Mostly Cytosolic
CUTA,Mostly Cytosolic
EFHD2,Mostly Cytosolic
NT5C,Mostly Cytosolic
SYAP1,Mostly Cytosolic
ACACA,Mostly Cytosolic
ACP1,Mostly Cytosolic
ADAR,Mostly Nuclear
AKAP17A,Mostly Nuclear
APTX,Mostly Nuclear
ARAP1,Mostly Cytosolic
ARFGEF1,Mostly Cytosolic
ARFGEF2,Mostly Cytosolic
ARGLU1,Mostly Nuclear
ARHGEF1,Mostly Cytosolic
ARHGEF16,Mostly Cytosolic
ARHGEF7,Mostly Cytosolic
ATR,Mostly Nuclear
ATXN10,Mostly Cytosolic
AURKB,Mostly Nuclear
BAG6,Mostly Cytosolic
BCAR1,Mostly Cytosolic
BIRC6,Mostly Cytosolic
CCDC137,Mostly Nuclear
CDC123,Mostly Cytosolic
CDC40,Mostly Nuclear
CDC5L,Mostly Nuclear
CHAF1B,Mostly Nuclear
UTP4,Mostly Nuclear
COPS3,Mostly Cytosolic
COPS4,Mostly Cytosolic
COPS6,Mostly Cytosolic
CPSF1,Mostly Nuclear
CPSF7,Mostly Nuclear
CREBBP,Mostly Nuclear
CRNKL1,Mostly Nuclear
CSTF1,Mostly Nuclear
